claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at
A0002-C007,A0002-C007-m1,A0002,"폴크스바겐, 전기차 정보 부실 관리 논란",2025-01-01,https://www.chosun.com/economy/auto/2025/01/01/S7LNVYUONNHU3KF3WJWFZZ3NVE,대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,차량 위치 정보의 경우 10cm 단위까지 구별될 정도로 정확도가 높았다고 한다.,-,개별기업,N,기타,대상 차량 대수,"폴크스바겐, 전기차, 독일",독일,-,-,자동차,-,-,-,202501,-,M,확정,30만대,KOSIS_VALUE,hcx,대상 차량 대수,차량,202501,M,claim_fallback,현재값,300000,-,-,N,대,수준값,-,전년동기,대상 차량은 독일 30만대 등 대부분 유럽 국가에 집중됐다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,Y,0,1,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C001,A0003-C001-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,-,국내공식통계,Y,소득·임금,최저임금,"최저임금, 노동, 복지, 가정, 육아휴직 급여",-,-,-,-,-,-,-,2025,-,Y,확정,1만30원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,현재값,10030,-,-,N,원,수준값,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C001,A0003-C001-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,-,국내공식통계,Y,소득·임금,최저임금,"최저임금, 노동, 복지, 가정, 육아휴직 급여",-,-,-,-,-,-,-,2025,-,Y,확정,9860원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,이전값,9860,-,-,N,원,수준값,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C001,A0003-C001-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,-,국내공식통계,Y,소득·임금,최저임금,"최저임금, 노동, 복지, 가정, 육아휴직 급여",-,-,-,-,-,-,-,2025,-,Y,확정,1.7%,POLICY_VALUE,hcx,최저임금 증감률,-,2025,Y,claim_fallback,증감률,1.7,-,-,N,%,증감률,증가,전년,▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C002,A0003-C002-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,국내공식통계,N,소득·임금,최저임금,"최저임금, 월급, 주 근로시간, 40시간",-,-,-,-,-,-,-,2025,-,Y,확정,209만6270원,POLICY_VALUE,hcx,최저임금,-,2025,Y,claim_fallback,현재값,2096270,-,-,N,원,수준값,-,전년,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,high,Y,measurement_binding_fallback:2;measurement_period_ungrounded:2,N,0,2,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C002,A0003-C002-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,"1 ◇노동·복지·가정 못 받은 양육비, 정부가 선지급… 국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.",-,국내공식통계,N,소득·임금,최저임금,"최저임금, 월급, 주 근로시간, 40시간",-,-,-,-,-,-,-,2025,-,Y,확정,40시간,CONDITION,hcx,주 근로시간,-,2025,Y,claim_fallback,참고값,40,-,-,N,시간,수준값,-,-,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,high,Y,measurement_binding_fallback:2;measurement_period_ungrounded:2,N,0,2,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C008,A0003-C008-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",-,개별기업,N,소득·임금,육아휴직 급여,"최저임금, 육아휴직 급여, 월 250만원",-,-,-,-,-,-,-,2025,-,Y,확정,1년,CONDITION,hcx,육아휴직 기간,-,2025,Y,claim_fallback,참고값,1,-,-,N,년,수준값,유지,전년,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C008,A0003-C008-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",-,개별기업,N,소득·임금,육아휴직 급여,"최저임금, 육아휴직 급여, 월 250만원",-,-,-,-,-,-,-,2025,-,Y,확정,1800만원,POLICY_VALUE,hcx,육아휴직 급여 총액,-,2025,Y,claim_fallback,이전값,18000000,-,-,N,원,수준값,증가,전년,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C008,A0003-C008-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,"이후 3개월은 월 200만원 한도로 통상 임금의 100%를, 7개월째부터는 월 160만원 한도로 통상 임금의 80%를 지급한다.",-,개별기업,N,소득·임금,육아휴직 급여,"최저임금, 육아휴직 급여, 월 250만원",-,-,-,-,-,-,-,2025,-,Y,확정,2310만원,POLICY_VALUE,hcx,육아휴직 급여 총액,-,2025,Y,claim_fallback,현재값,23100000,-,-,N,원,수준값,증가,전년,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,Y,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C011,A0003-C011-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,이 휴가는 네 번에 걸쳐 나눠 쓸 수 있다.,-,국내공식통계,N,보건·복지,국가건강검진 항목,"국가건강검진, C형 간염 검사",-,-,-,-,-,-,-,2025,-,Y,확정,56세,CONDITION,hcx,국가건강검진 대상 연령,-,2025,Y,claim_fallback,참고값,56,-,-,N,세,수준값,증가,특정시점,▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,high,Y,measurement_binding_fallback:1;measurement_period_ungrounded:1,N,0,1,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C012,A0003-C012-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,-,국내공식통계,N,보건·복지,국가건강검진 대상 연령,"골다공증 검사, 건강검진, 무료 검진",-,-,-,-,-,-,-,2025,-,Y,확정,54세,CONDITION,hcx,국가건강검진 대상 연령,골다공증 검사,2025,Y,claim_fallback,참고값,54,-,-,N,세,수준값,-,전년,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C012,A0003-C012-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,-,국내공식통계,N,보건·복지,국가건강검진 대상 연령,"골다공증 검사, 건강검진, 무료 검진",-,-,-,-,-,-,-,2025,-,Y,확정,66세,CONDITION,hcx,국가건강검진 대상 연령,골다공증 검사,2025,Y,claim_fallback,참고값,66,-,-,N,세,수준값,-,전년,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C012,A0003-C012-m3,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",▲ 국가건강검진 대상·항목 확대 =56세의 국가건강검진 항목에 C형 간염 검사가 새로 도입된다.,-,국내공식통계,N,보건·복지,국가건강검진 대상 연령,"골다공증 검사, 건강검진, 무료 검진",-,-,-,-,-,-,-,2025,-,Y,확정,60세,CONDITION,hcx,국가건강검진 대상 연령,골다공증 검사,2025,Y,claim_fallback,현재값,60,-,-,N,세,수준값,-,전년,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C014,A0003-C014-m1,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,"▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.",-,해외통계·정책,N,보건·복지,지원 대상 및 지원금,"중위소득, 한부모가족, 양육비, 선지급제, 만 18세",-,-,-,-,한부모가족,-,-,2025,-,Y,확정,150%,CONDITION,hcx,중위소득 비율,-,2025,Y,claim_fallback,참고값,150,-,-,N,%,비중,-,-,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
A0003-C014,A0003-C014-m2,A0003,최저임금 1만30원으로 인상… 육아휴직 급여 최대 월 250만원,2025-01-01,https://www.chosun.com/economy/economy_general/2025/01/01/ADO7O3Q4WJBCJAX6UUEY4MSBV4,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,"▲ 양육비 선지급제 도입 =양육비를 받지 못하고 있는 한부모가족에게 7월부터 국가가 양육비를 우선 지급하고, 비양육자에게 회수하게 된다.",-,해외통계·정책,N,보건·복지,지원 대상 및 지원금,"중위소득, 한부모가족, 양육비, 선지급제, 만 18세",-,-,-,-,한부모가족,-,-,2025,-,Y,확정,20만원,POLICY_VALUE,hcx,양육비 지원금액,-,2025,Y,claim_fallback,현재값,200000,-,-,N,원,수준값,-,-,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,high,Y,measurement_binding_fallback:3;measurement_period_ungrounded:3,N,0,3,HCX-007,v1.5-measurement-binding,2026-07-30
