claim_id,claim_measurement_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,claim_domain_scope,is_recurring_series,metric_domain,indicator,keywords,region,age_group,gender,industry_or_item,population_etc,origin_country,destination_country,period,period_end,prd_se,time_resolution_status,measurement_text,measurement_usage,measurement_source,measurement_indicator,measurement_item,measurement_period,measurement_prd_se,measurement_binding_source,measurement_role,value,value_min,value_max,value_approximate,unit,value_type,direction,change_base,evidence_text,extraction_confidence,needs_review,review_reason,measurement_repaired,measurement_fallback_count,measurement_binding_fallback_count,extraction_model,prompt_version,extracted_at,claim_indicator,claim_industry_or_item,claim_period,claim_prd_se,raw_unit,canonical_unit,unit_dimension,semantic_type,entity_type,comparison_period,mapping_eligible,mapping_exclusion_code,mapping_exclusion_reason
A2700-C001,A2700-C001-m1,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,-,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,국내공식통계,Y,무역,수출액 상위 기업의 수,"수출, 톱10, 기업, 비중, 역대 최대, 대기업 쏠림",-,-,-,,-,-,-,2025Q3,-,Q,확정,10대,KOSIS_VALUE,hcx,수출액 상위 기업의 수,-,2025Q3,Q,hcx,현재값,10,-,-,N,대,수준값,-,전분기,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,무역집중도,,2025Q3,Q,대,대,count,count,organization,,Y,,
A2700-C001,A2700-C001-m2,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,-,반도체 수출 호황으로 대기업 실적이 크게 개선되면서 수출이 소수 대기업에 집중되는 현상이 심화되고 있다.,국내공식통계,Y,무역,무역집중도,"수출, 톱10, 기업, 비중, 역대 최대, 대기업 쏠림",-,-,-,,-,-,-,2025Q3,-,Q,확정,40%,KOSIS_VALUE,hcx,무역집중도,-,2025Q3,Q,hcx,현재값,40,-,-,N,%,비중,-,전분기,올해 3분기 수출액 상위 10대 기업의 무역집중도가 40%로 역대 최고치를 기록했다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,무역집중도,,2025Q3,Q,%,%,rate,level,unspecified,,Y,,
A2700-C004,A2700-C004-m1,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",전체 수출이 늘어도 중소·중견기업이 체감하는 효과는 제한적이어서 수출 증가세가 경제 전반의 활력으로 이어지지 못하고 있다는 지적이 나온다.,이는 2015년 기업 특성별 분기 통계 작성 이래 가장 높은 수치다.,국내공식통계,Y,무역,무역집중도,"수출액, 상위 10개 기업, 무역통계",-,-,-,,-,-,-,2025Q3,-,Q,확정,40.0%,KOSIS_VALUE,hcx,무역집중도,-,2025Q3,Q,hcx,현재값,40,-,-,N,%,수준값,증가,전년동기,"국가데이터처가 10일 발표한 '2025년 3분기 기업특성별 무역통계'에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,무역집중도,,2025Q3,Q,%,%,rate,level,unspecified,,Y,,
A2700-C004,A2700-C004-m3,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,"국가데이터처가 10일 발표한 ’2025년 3분기 기업특성별 무역통계’에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",전체 수출이 늘어도 중소·중견기업이 체감하는 효과는 제한적이어서 수출 증가세가 경제 전반의 활력으로 이어지지 못하고 있다는 지적이 나온다.,이는 2015년 기업 특성별 분기 통계 작성 이래 가장 높은 수치다.,국내공식통계,Y,무역,무역집중도 변화,"수출액, 상위 10개 기업, 무역통계",-,-,-,,-,-,-,2025Q3,-,Q,확정,2.6%,KOSIS_VALUE,hcx,무역집중도 변화,-,2025Q3,Q,hcx,증감률,2.6,-,-,N,%,증감률,증가,전년동기,"국가데이터처가 10일 발표한 '2025년 3분기 기업특성별 무역통계'에 따르면, 3분기 수출액 상위 10개 기업의 무역집중도는 40.0%로 지난해 3분기(37.4%)보다 2.6%포인트 상승했다.",high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,무역집중도,,2025Q3,Q,%,%,rate,rate_change,unspecified,2024,Y,,
A2700-C025,A2700-C025-m1,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,지난달 한국은행이 발표한 ’2024년 해외직접투자 동향’에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,실제로 삼성전자와 SK하이닉스 등 주요 수출 대기업들은 미국 관세 우려와 국내 규제 부담 등으로 해외 투자를 늘리고 있다.,벌어들인 돈을 해외 공장과 인력 채용에 쏟아붓는 만큼 국내 경제에는 낙수효과가 제한적일 수밖에 없다.,국내공식통계,N,무역,해외직접투자,"해외직접투자, 동향",-,-,-,,-,-,-,2024,-,Y,확정,672억달러,KOSIS_VALUE,hcx,해외직접투자,-,2024,Y,hcx,현재값,67200000000,-,-,N,달러,수준값,증가,전년,'2024년 해외직접투자 동향'에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,해외직접투자,,2024,Y,달러,달러,currency,amount,unspecified,,Y,,
A2700-C025,A2700-C025-m2,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,지난달 한국은행이 발표한 ’2024년 해외직접투자 동향’에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,실제로 삼성전자와 SK하이닉스 등 주요 수출 대기업들은 미국 관세 우려와 국내 규제 부담 등으로 해외 투자를 늘리고 있다.,벌어들인 돈을 해외 공장과 인력 채용에 쏟아붓는 만큼 국내 경제에는 낙수효과가 제한적일 수밖에 없다.,국내공식통계,N,무역,해외직접투자 증가율,"해외직접투자, 동향",-,-,-,,-,-,-,2024,-,Y,확정,10.4%,KOSIS_VALUE,hcx,해외직접투자 증가율,-,2024,Y,hcx,증감률,10.4,-,-,N,%,증감률,증가,전년,'2024년 해외직접투자 동향'에 따르면 작년 해외직접투자는 672억달러로 전년 대비 10.4% 증가했다.,high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,해외직접투자,,2024,Y,%,%,rate,rate_change,unspecified,2023,Y,,
A2700-C027,A2700-C027-m1,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,벌어들인 돈을 해외 공장과 인력 채용에 쏟아붓는 만큼 국내 경제에는 낙수효과가 제한적일 수밖에 없다.,지난해 3분기부터 올해 2분기까지 줄곧 마이너스였던 소비재 수출은 유럽연합(EU)으로의 자동차 수출과 독립국가연합(CIS) 지역으로의 중고차 수출이 늘면서 반등했다.,국내공식통계,N,무역,소비재 수출,"자동차, 화장품, 수출, EU, CIS",-,-,-,,-,-,-,2025Q4,-,Q,확정,239억달러,KOSIS_VALUE,hcx,소비재 수출,-,2025Q4,Q,hcx,현재값,23900000000,-,-,N,달러,수준값,증가,전분기,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,소비재 수출,,2025Q4,Q,달러,달러,currency,amount,vehicle,,Y,,
A2700-C027,A2700-C027-m2,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,벌어들인 돈을 해외 공장과 인력 채용에 쏟아붓는 만큼 국내 경제에는 낙수효과가 제한적일 수밖에 없다.,지난해 3분기부터 올해 2분기까지 줄곧 마이너스였던 소비재 수출은 유럽연합(EU)으로의 자동차 수출과 독립국가연합(CIS) 지역으로의 중고차 수출이 늘면서 반등했다.,국내공식통계,N,무역,소비재 수출 증감률,"자동차, 화장품, 수출, EU, CIS",-,-,-,,-,-,-,2025Q4,-,Q,확정,4.9%,KOSIS_VALUE,hcx,소비재 수출 증감률,-,2025Q4,Q,hcx,증감률,4.9,-,-,N,%,증감률,증가,전분기,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,소비재 수출,,2025Q4,Q,%,%,rate,rate_change,vehicle,,Y,,
A2700-C027,A2700-C027-m3,A2700,수출 ‘톱10′ 기업 비중 40%로 역대 최대...‘대기업 쏠림’ 심화,2025-11-10,https://www.chosun.com/economy/economy_general/2025/11/10/STP3LFTONFGQLFJKML7SF2LS24/,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,벌어들인 돈을 해외 공장과 인력 채용에 쏟아붓는 만큼 국내 경제에는 낙수효과가 제한적일 수밖에 없다.,지난해 3분기부터 올해 2분기까지 줄곧 마이너스였던 소비재 수출은 유럽연합(EU)으로의 자동차 수출과 독립국가연합(CIS) 지역으로의 중고차 수출이 늘면서 반등했다.,국내공식통계,N,무역,분기 수,"자동차, 화장품, 수출, EU, CIS",-,-,-,,-,-,-,2025Q4,-,Q,확정,5개,KOSIS_VALUE,hcx,분기 수,-,2025Q4,Q,hcx,현재값,5,-,-,N,개,수준값,증가,전분기,◇소비재도 반등했지만…구조는 그대로 자동차와 화장품 등 소비재 수출은 239억달러로 4.9% 증가하며 5개 분기 만에 증가세로 전환했다.,high,N,-,Y,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,소비재 수출,,2025Q4,Q,개,개,count,count,vehicle,,Y,,
A2701-C004,A2701-C004-m1,A2701,3분기 수출 역대 최대… 美 관세 폭탄에도 반도체·지역 다변화로 선방,2025-11-10,https://biz.chosun.com/policy/policy_sub/2025/11/10/FJZFOVSDGBEVDPIJJYVIHAC63E/,"10일 국가데이터처와 관세청이 발표한 '2025년 3분기 기준 기업 특성별 무역통계 결과(잠정)'에 따르면, 3분기 수출액은 1850억달러로 지난해 같은 기간보다 6.5% 증가했다.",인공지능(AI) 특수를 누린 반도체 산업과 수출 기업의 지역 다변화가 수출 증가세를 이끌었다.,"대기업(5.1%), 중견기업(7.0%), 중소기업(11.9%) 모두 전년 동기 대비 3분기 수출이 늘었다.",국내공식통계,Y,무역,수출액,"3분기, 수출액, 잠정",-,-,-,,-,-,-,2025Q3,-,Q,확정,1850억달러,KOSIS_VALUE,hcx,수출액,-,2025Q3,Q,hcx,현재값,185000000000,-,-,N,달러,수준값,증가,전년동기,"[검증 대상 문장] 10일 국가데이터처와 관세청이 발표한 '2025년 3분기 기준 기업 특성별 무역통계 결과(잠정)'에 따르면, 3분기 수출액은 1850억달러로 지난해 같은 기간보다 6.5% 증가했다.",high,N,-,N,0,0,HCX-007,v1.5-measurement-binding,2026-07-23,수출액,,2025Q3,Q,달러,달러,currency,amount,unspecified,,Y,,
