"claim_id","claim_measurement_id","article_id","title","date","url","claim_text","prev_sentence","next_sentence","claim_domain_scope","is_recurring_series","metric_domain","indicator","keywords","region","age_group","gender","industry_or_item","population_etc","origin_country","destination_country","period","period_end","prd_se","time_resolution_status","measurement_text","measurement_usage","measurement_source","measurement_indicator","measurement_item","measurement_period","measurement_prd_se","measurement_binding_source","measurement_role","value","value_min","value_max","value_approximate","unit","value_type","direction","change_base","evidence_text","extraction_confidence","needs_review","review_reason","measurement_repaired","measurement_fallback_count","measurement_binding_fallback_count","extraction_model","prompt_version","extracted_at"
"A0006-C009","A0006-C009-m1","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","국내공식통계","Y","무역","수출액","반도체, 자동차, 바이오, 농수산, 화장품","-","-","-","반도체","-","-","-","2024","-","Y","확정","43.9%","KOSIS_VALUE","hcx","반도체 수출 증감률","반도체","2024","Y","hcx","증감률","43.9","-","-","N","%","증감률","증가","전년","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","high","N","-","Y","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C009","A0006-C009-m2","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","국내공식통계","Y","무역","수출액","반도체, 자동차, 바이오, 농수산, 화장품","-","-","-","반도체","-","-","-","2024","-","Y","확정","1419억 달러","KOSIS_VALUE","hcx","반도체 수출액","반도체","2024","Y","hcx","현재값","141900000000","-","-","N","달러","수준값","증가","전년","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","high","N","-","Y","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C009","A0006-C009-m3","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","국내공식통계","Y","무역","수출액","반도체, 자동차, 바이오, 농수산, 화장품","-","-","-","반도체","-","-","-","2024","-","Y","확정","1292억 달러","KOSIS_VALUE","hcx","반도체 수출액","반도체","2022","Y","hcx","이전값","129200000000","-","-","N","달러","수준값","증가","전년동기","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","high","N","-","Y","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C009","A0006-C009-m4","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","국내공식통계","Y","무역","수출액","반도체, 자동차, 바이오, 농수산, 화장품","-","-","-","반도체","-","-","-","2024","-","Y","확정","14개월","CONTEXT","hcx","반도체 수출 증가 기간","반도체","2023년 11월부터 2024년 12월까지","M","hcx","참고값","14","-","-","N","개월","수준값","증가","-","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","high","N","-","Y","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C009","A0006-C009-m5","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","지난해 유가가 하향 안정화된 가운데 반도체 등 IT 품목, 선박·자동차 등 주력 품목과 바이오헬스·농수산식품·화장품 등 소비재 품목이 고르게 호조를 보이면서 역대 최대 수출 실적과 무역수지 흑자를 동시에 기록했다.","특히 지난 4분기에는 범용 메모리 가격하락에도 불구하고, DDR5·HBM 등 고부가 품목을 중심으로 수출이 확대되면서 올해 전체적으로 분기별 수출이 우상향했다.","국내공식통계","Y","무역","수출액","반도체, 자동차, 바이오, 농수산, 화장품","-","-","-","반도체","-","-","-","2024","-","Y","확정","2년","CONTEXT","hcx","경신 주기","반도체","2022년부터 2024년까지","Y","hcx","참고값","2","-","-","N","년","수준값","증가","-","◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.","high","N","-","Y","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C013","A0006-C013-m1","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","국내공식통계","Y","무역","석유화학 수출","수출, 유가, 수출단가, 수출물량","-","-","-","-","-","-","-","2024","-","Y","확정","480억 달러","KOSIS_VALUE","hcx","석유화학 수출","-","2024","Y","hcx","현재값","48000000000","-","-","N","달러","수준값","증가","전년","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","high","N","-","N","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C013","A0006-C013-m2","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","선박 수출은 2021년 높은 선가로 수주한 LNG 운반선, 대형 컨테이너선 등 고부가 선박이 본격 수출되면서 두 자릿수(18%) 증가한 256억 달러를 기록했다.","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","국내공식통계","Y","무역","석유화학 수출","수출, 유가, 수출단가, 수출물량","-","-","-","-","-","-","-","2024","-","Y","확정","5%","KOSIS_VALUE","hcx","석유화학 수출 증가율","-","2024","Y","hcx","증감률","5","-","-","N","%","증감률","증가","전년","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","high","N","-","N","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C014","A0006-C014-m1","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.","국내공식통계","Y","무역","수출액","바이오헬스, 농수산식품, 화장품, 수출액, 수출증가율","-","-","-","-","-","-","-","2024","-","Y","확정","13.1%","KOSIS_VALUE","hcx","바이오헬스 수출증가율","바이오헬스","2024","Y","hcx","증감률","13.1","-","-","N","%","증감률","증가","전년","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","high","N","-","N","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C014","A0006-C014-m2","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.","국내공식통계","Y","무역","수출액","바이오헬스, 농수산식품, 화장품, 수출액, 수출증가율","-","-","-","-","-","-","-","2024","-","Y","확정","151억 달러","KOSIS_VALUE","hcx","바이오헬스 수출액","바이오헬스","2024","Y","hcx","현재값","15100000000","-","-","N","달러","수준값","증가","전년","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","high","N","-","N","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
"A0006-C014","A0006-C014-m3","A0006","2024년 수출, 6838억달러로 ‘역대 최대’ 경신","2025-01-01","https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","석유화학 수출은 480억 달러로, 하반기 유가 하락에 따른 수출단가 하락에도 불구하고 수출물량이 확대되면서 5% 증가했다.","◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.","국내공식통계","Y","무역","수출액","바이오헬스, 농수산식품, 화장품, 수출액, 수출증가율","-","-","-","-","-","-","-","2024","-","Y","확정","7.6%","KOSIS_VALUE","hcx","농수산식품 수출증가율","농수산식품","2024","Y","hcx","증감률","7.6","-","-","N","%","증감률","증가","전년","바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대 최대 수출실적을 경신했다.","high","N","-","N","0","0","HCX-007","v1.5-measurement-binding","2026-07-20"
