claim_id,article_id,title,date,url,paragraph_id,paragraph_sentence_index,paragraph_count,claim_text,prev_sentence,prev_prev_sentence,next_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A0001-C001,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,1,1,"[탄핵 이후 부동산 시장 대전망] 고준석 연세대 상남경영원 교수 “서울은 공급 감소 불가피…분양가·집값 다 오른다” [땅집고] ""올해 서울 집값은 2~3%, 경기도는 1~2% 정도 상승하겠지만 지방은 1~2% 하락할 것이다. 탄핵 정국은 환율 급등, 공사비 인상, 분양가 상승 등 가격 상승 불쏘시개가 될 가능성이 높다.""",,,"국내 1세대 은행 PB(프라이빗뱅킹) 출신 부동산 전문가로 꼽히는 고준석 연세대 경영전문대학원 상남경영원 교수는 땅집고 와 가진 인터뷰에서 ""올해는 서울·수도권에서도 서울과 가까운 지역, GTX(수도권광역급행철도) 개통으로 교통이 개선된 지역은 가격이 오를 것""이라며 ""공급 부족은 부동산 가격 상승의 가장 큰 원인이기 때문에 다주택자 보유 물건이 시장에 나와 가격 안정에 도움을 줄 수 있도록 세제 혜택이 필요하다""고 밝혔다.",False,"현재 문장은 전문가의 예측 및 의견을 담고 있으며, 이는 KOSIS에서 제공하는 공식적인 통계 자료와는 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C002,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,2,1,"국내 1세대 은행 PB(프라이빗뱅킹) 출신 부동산 전문가로 꼽히는 고준석 연세대 경영전문대학원 상남경영원 교수는 땅집고 와 가진 인터뷰에서 ""올해는 서울·수도권에서도 서울과 가까운 지역, GTX(수도권광역급행철도) 개통으로 교통이 개선된 지역은 가격이 오를 것""이라며 ""공급 부족은 부동산 가격 상승의 가장 큰 원인이기 때문에 다주택자 보유 물건이 시장에 나와 가격 안정에 도움을 줄 수 있도록 세제 혜택이 필요하다""고 밝혔다.","[탄핵 이후 부동산 시장 대전망] 고준석 연세대 상남경영원 교수 “서울은 공급 감소 불가피…분양가·집값 다 오른다” [땅집고] ""올해 서울 집값은 2~3%, 경기도는 1~2% 정도 상승하겠지만 지방은 1~2% 하락할 것이다. 탄핵 정국은 환율 급등, 공사비 인상, 분양가 상승 등 가격 상승 불쏘시개가 될 가능성이 높다.""",,"☞나에게 딱 맞는 아파트, AI가 찾아드립니다 ―",False,"현재 문장은 부동산 시장의 예측 및 정책 제안에 대한 의견을 담고 있으며, 구체적인 수치나 통계적 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C003,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,3,1,"☞나에게 딱 맞는 아파트, AI가 찾아드립니다 ―","국내 1세대 은행 PB(프라이빗뱅킹) 출신 부동산 전문가로 꼽히는 고준석 연세대 경영전문대학원 상남경영원 교수는 땅집고 와 가진 인터뷰에서 ""올해는 서울·수도권에서도 서울과 가까운 지역, GTX(수도권광역급행철도) 개통으로 교통이 개선된 지역은 가격이 오를 것""이라며 ""공급 부족은 부동산 가격 상승의 가장 큰 원인이기 때문에 다주택자 보유 물건이 시장에 나와 가격 안정에 도움을 줄 수 있도록 세제 혜택이 필요하다""고 밝혔다.","[탄핵 이후 부동산 시장 대전망] 고준석 연세대 상남경영원 교수 “서울은 공급 감소 불가피…분양가·집값 다 오른다” [땅집고] ""올해 서울 집값은 2~3%, 경기도는 1~2% 정도 상승하겠지만 지방은 1~2% 하락할 것이다. 탄핵 정국은 환율 급등, 공사비 인상, 분양가 상승 등 가격 상승 불쏘시개가 될 가능성이 높다.""",올해 서울과 수도권 집값은 오를까.,False,"현재 문장은 AI 기술이 아파트를 추천해주는 서비스에 대한 내용으로, 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C004,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,4,1,올해 서울과 수도권 집값은 오를까.,"☞나에게 딱 맞는 아파트, AI가 찾아드립니다 ―","국내 1세대 은행 PB(프라이빗뱅킹) 출신 부동산 전문가로 꼽히는 고준석 연세대 경영전문대학원 상남경영원 교수는 땅집고 와 가진 인터뷰에서 ""올해는 서울·수도권에서도 서울과 가까운 지역, GTX(수도권광역급행철도) 개통으로 교통이 개선된 지역은 가격이 오를 것""이라며 ""공급 부족은 부동산 가격 상승의 가장 큰 원인이기 때문에 다주택자 보유 물건이 시장에 나와 가격 안정에 도움을 줄 수 있도록 세제 혜택이 필요하다""고 밝혔다.",“서울은 상승할 것이라고 본다. 수도권에서도 서울 접경 지역이나 GTX 효과로 교통 환경이 개선되는 곳은 상승할 것이다. 나머지 지역은 조금 떨어질 수도 있을 것이라고 본다. 수치적으로 보면 서울은 2~3% 정도 상승할 것이다. 경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다. 지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―,False,"현재 문장은 단순한 질문 형태로, 구체적인 수치나 비율 등의 통계적 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C005,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,5,1,“서울은 상승할 것이라고 본다. 수도권에서도 서울 접경 지역이나 GTX 효과로 교통 환경이 개선되는 곳은 상승할 것이다. 나머지 지역은 조금 떨어질 수도 있을 것이라고 본다. 수치적으로 보면 서울은 2~3% 정도 상승할 것이다. 경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다. 지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―,올해 서울과 수도권 집값은 오를까.,"☞나에게 딱 맞는 아파트, AI가 찾아드립니다 ―",수도권은 주택 공급이 줄고 있는데.,True,"현재 문장은 서울과 수도권의 집값 상승 및 하락 예측에 대한 구체적인 수치와 비율을 포함하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C006,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,6,1,수도권은 주택 공급이 줄고 있는데.,“서울은 상승할 것이라고 본다. 수도권에서도 서울 접경 지역이나 GTX 효과로 교통 환경이 개선되는 곳은 상승할 것이다. 나머지 지역은 조금 떨어질 수도 있을 것이라고 본다. 수치적으로 보면 서울은 2~3% 정도 상승할 것이다. 경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다. 지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―,올해 서울과 수도권 집값은 오를까.,“공급 부족은 가격 상승에 가장 큰 원인이다. 결국은 다주택자들이 가지고 있는 물건이 시장에 나올 수 있도록 세금 규제가 아닌 완화 정책이 필요하다. 매물이 순환될 수 있도록 해줘야 가격 안정에 도움이 될 것이다.” ―,False,"주어진 문장은 수도권의 주택 공급 상황에 대한 단순한 서술로서, 구체적인 수치나 비율 등의 통계적 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C007,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,7,1,“공급 부족은 가격 상승에 가장 큰 원인이다. 결국은 다주택자들이 가지고 있는 물건이 시장에 나올 수 있도록 세금 규제가 아닌 완화 정책이 필요하다. 매물이 순환될 수 있도록 해줘야 가격 안정에 도움이 될 것이다.” ―,수도권은 주택 공급이 줄고 있는데.,“서울은 상승할 것이라고 본다. 수도권에서도 서울 접경 지역이나 GTX 효과로 교통 환경이 개선되는 곳은 상승할 것이다. 나머지 지역은 조금 떨어질 수도 있을 것이라고 본다. 수치적으로 보면 서울은 2~3% 정도 상승할 것이다. 경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다. 지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―,정치적 불확실성도 큰 변수 아닌가.,False,"현재 문장은 주택 가격 상승 원인과 해결책에 대한 의견을 제시하지만, 구체적인 수치나 통계적 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C008,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,8,1,정치적 불확실성도 큰 변수 아닌가.,“공급 부족은 가격 상승에 가장 큰 원인이다. 결국은 다주택자들이 가지고 있는 물건이 시장에 나올 수 있도록 세금 규제가 아닌 완화 정책이 필요하다. 매물이 순환될 수 있도록 해줘야 가격 안정에 도움이 될 것이다.” ―,수도권은 주택 공급이 줄고 있는데.,"“당장 환율이 급격하게 올랐다. 환율이 오르면 수입 건설 원자재 가격이 상승한다. 그렇다면 공사비에도 영향을 주고, 분양가도 인상 압박을 받는다. 여러모로 가격 상승의 불쏘시개가 될 가능성이 굉장히 높다. 여기에 올해부터 아파트 신규 입주 물량이 줄어드는 것을 감안하면 가격 상승이 서울 주요 지역에서 시작해 서울 전역, 수도권 전역으로 퍼져나갈 수도 있다.”",False,"정치적 불확실성이 부동산 가격에 미치는 영향에 대한 의견 표현이므로, 이는 KOSIS를 통해 검증 가능한 구체적인 수치나 통계적 변화를 주장하는 것이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C009,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,9,1,"“당장 환율이 급격하게 올랐다. 환율이 오르면 수입 건설 원자재 가격이 상승한다. 그렇다면 공사비에도 영향을 주고, 분양가도 인상 압박을 받는다. 여러모로 가격 상승의 불쏘시개가 될 가능성이 굉장히 높다. 여기에 올해부터 아파트 신규 입주 물량이 줄어드는 것을 감안하면 가격 상승이 서울 주요 지역에서 시작해 서울 전역, 수도권 전역으로 퍼져나갈 수도 있다.”",정치적 불확실성도 큰 변수 아닌가.,“공급 부족은 가격 상승에 가장 큰 원인이다. 결국은 다주택자들이 가지고 있는 물건이 시장에 나올 수 있도록 세금 규제가 아닌 완화 정책이 필요하다. 매물이 순환될 수 있도록 해줘야 가격 안정에 도움이 될 것이다.” ―,"☞당신의 아파트 MBTI, 조선일보 AI부동산에서 확인하기 ―올해 부동산 정책에도 큰 변화가 올까.",False,"현재 문장은 환율 상승과 그로 인한 경제적 영향 및 부동산 시장에서의 가격 상승 가능성을 언급하지만, 이는 특정한 수치나 비율을 주장하는 것이 아니며, KOSIS에서 직접적인 검증을 할 수 있는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0001-C010,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,10,1,"☞당신의 아파트 MBTI, 조선일보 AI부동산에서 확인하기 ―올해 부동산 정책에도 큰 변화가 올까.","“당장 환율이 급격하게 올랐다. 환율이 오르면 수입 건설 원자재 가격이 상승한다. 그렇다면 공사비에도 영향을 주고, 분양가도 인상 압박을 받는다. 여러모로 가격 상승의 불쏘시개가 될 가능성이 굉장히 높다. 여기에 올해부터 아파트 신규 입주 물량이 줄어드는 것을 감안하면 가격 상승이 서울 주요 지역에서 시작해 서울 전역, 수도권 전역으로 퍼져나갈 수도 있다.”",정치적 불확실성도 큰 변수 아닌가.,"“주택 공급 정책은 설령 정권이 바뀌더라도 꾸준하게, 지속적으로 추진해야 한다. 1기 신도시 재건축의 경우 정비 선도지구까지 선정했는데, 공급 확대 측면에서 연속성이 중요하다. 서울 외곽의 개발제한구역(그린벨트) 해제를 통한 신규 택지 조성과 주택 공급 계획 또한 지속돼야 한다. 중장기적으로 이런 정책들이 가격에 영향을 미치기 때문에 올해가 굉장히 중요한 시점이라고 볼 수 있다. 반대로 부동산 세금 정책에는 변화가 예상된다. 공시지가라든가 종합부동산세와 관련된 것이다. 현 정부에서는 종합부동산세 인하 방침인데, 만약 정권이 바뀐다면 연속성이 떨어지지 않을까 우려되는 부분이 있다.” ―",False,"현재 문장은 부동산 정책에 대한 질문으로, 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
