claim_id,article_id,title,date,url,claim_text,metric,metric_all,is_claim,population,prev_sentence,next_sentence,numbers,units,year,region,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note,obj_l1_candidates,itm_id_candidates,actual_value,actual_period,actual_prev_value,actual_prev_period,actual_change_pct,actual_change_point,api_error,claim_type,claim_number,actual_number,actual_source,verdict,diff,judge_note
C00230,23,정부 “올해 경제성장률 1.8%”… 한은 전망보다 더 낮췄다,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/FWT5PD42TZED7JTIXYCIECCFRE,"지난달 30일 발표된 통계청의 ‘11월 산업활동동향’에 따르면, 생산은 작년 9월(-0.4%)·10월(-0.2%)·11월(-0.4%) 등 3개월 연속으로 전월 대비 감소했다.",비율·증감률,비율·증감률; 건수·개수; 날짜·시간,True,,최근 한달새 나온 각종 경기 지표가 부진한 모습을 보인 점도 정부의 보수적인 경기 전망에 한몫했다.,설비투자도 작년 10월(-5.9%)·11월(-1.6%) 등 2달 연속 감소했다.,"[30, 11, 9, 0.4, 10, 0.2, 11, 0.4, 3]","['일', '월', '월', '%', '월', '%', '월', '%', '개']",[],[],항목별 부모님과 지난 한 달 동안(2005년 9월 1일~30일) 함께한 월평균 횟수(만15세 이상 24세 이하 청소년 대상)(tblId=DT_154001_A084); 급성심근경색증 입원 환자의 병원 내·외 30일 치명률(tblId=DT_117100_A001); 출혈성 뇌졸중 입원 환자의 병원 내·외 30일 치명률(tblId=DT_117100_A002); 허혈성 뇌졸중 입원 환자의 병원 내·외 30일 치명률(tblId=DT_117100_A003); 정신질환자의 퇴원 후 30일 내 자살률(tblId=DT_117100_A017_3),,,판단불가,101,DT_1JH20202,1,T1,M,"[Claude 검토] 산업활동동향 생산지수(전산업생산지수, 계절조정) 후보로 판단, org_id/tbl_id 채움 | obj_l1 수동 선택 필요(산업별 지수, 후보 6개 -> obj_l1_candidates 컬럼 참고)",1:전산업생산지수; 1A:농림어업; 1B:광공업; 1D:건설업; 1C:서비스업; 1E:공공행정,,113.7,202401,113.2,202312,0.441696113074205,0.5,,CHANGE_RATE,-0.4,0.441696113074205,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,0.841696113074205,"claim=-0.4, actual=0.441696113074205, 오차=0.842 (허용=0.3)"
C00231,23,정부 “올해 경제성장률 1.8%”… 한은 전망보다 더 낮췄다,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/FWT5PD42TZED7JTIXYCIECCFRE,설비투자도 작년 10월(-5.9%)·11월(-1.6%) 등 2달 연속 감소했다.,비율·증감률,비율·증감률; 날짜·시간,True,,"지난달 30일 발표된 통계청의 ‘11월 산업활동동향’에 따르면, 생산은 작년 9월(-0.4%)·10월(-0.2%)·11월(-0.4%) 등 3개월 연속으로 전월 대비 감소했다.",특히 건축·토목 공사 실적을 뜻하는 건설기성은 작년 11월 0.2% 감소해 5월(-4.6%)부터 7개월 연속 마이너스 행진을 이어갔다.,"[10, 5.9, 11, 1.6]","['월', '%', '월', '%']",[],[],"작년 임금 근로활동 여부(tblId=DT_KWMP_2020136); 작년 월 평균 임금(세전, 인센티브 제외)(tblId=DT_KWMP_2020006); 작년 연간 평균 인센티브(세전)(tblId=DT_KWMP_2020007); 작년 매출액(tblId=DT_111014_A071); 작년 대비 지역 내 불법체류 외국인 고용 규모 변화(tblId=DT_111014_B099)",,,판단불가,101,DT_1F70011,C,T5,M,"[Claude 검토] 산업활동동향 설비투자지수 후보로 판단, org_id/tbl_id 채움 | itm_id 수동 선택 필요(후보 2개 -> itm_id_candidates 컬럼 참고)",,T3:원지수; T5:계절조정지수,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,-1.6,,KOSIS 응답에 숫자 DT 값이 없음,판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요)
C00232,23,정부 “올해 경제성장률 1.8%”… 한은 전망보다 더 낮췄다,2025-01-02,https://www.chosun.com/economy/economy_general/2025/01/02/FWT5PD42TZED7JTIXYCIECCFRE,특히 건축·토목 공사 실적을 뜻하는 건설기성은 작년 11월 0.2% 감소해 5월(-4.6%)부터 7개월 연속 마이너스 행진을 이어갔다.,비율·증감률,비율·증감률; 건수·개수; 날짜·시간,True,,설비투자도 작년 10월(-5.9%)·11월(-1.6%) 등 2달 연속 감소했다.,소비 지표인 소매판매는 9월(-0.3%)과 10월(-0.8%) 2달 연속 감소하다가 11월 0.4% 증가세로 돌아섰다.,"[11, 0.2, 5, 4.6, 7]","['월', '%', '월', '%', '개']",[],[],건축 공사 공정(tblId=DT_380004_C3_1); 토목 공사 공정(tblId=DT_380004_C3_2); 젊은이들의 자살은 아직 삶의 가능성이 무한하기 때문에 특히 이해할 수 없다(tblId=DT_117094N_020N); 젊은이들의 자살은 아직 삶의 가능성이 무한하기 때문에 특히 이해할 수 없다(tblId=DT_11794N_020); 사회안전에 대한 인식도(건축 및 건설)(tblId=DT_1WCA83),,,판단불가,101,DT_1G18004,0,T10,M,"[Claude 검토] 건설기성(공종별,계절조정) 후보로 판단, org_id/tbl_id 채움 (건축/토목 공사 공정 표는 무관하여 제외) | obj_l1 수동 선택 필요(공종별, 후보 3개 -> obj_l1_candidates 컬럼 참고)",0:기성총액; 1:건축공사; 2:토목공사,,15726944,202401,13416542,202312,17.220547589684436,2310402.0,,CHANGE_RATE,-4.6,17.220547589684436,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,21.820547589684438,"claim=-4.6, actual=17.220547589684436, 오차=21.821 (허용=0.3)"
C00604,72,계엄 이후 얼어붙은 내수... 덜 먹고 덜 놀러갔다,2025-01-06,https://www.chosun.com/economy/economy_general/2025/01/06/UNEVPXHOQFFWRGCMGJ72EICGC4,연말 소비자심리지수는 코로나 사태 이후 4년 9개월 만에 가장 큰 폭으로 하락했다.,건수·개수,건수·개수; 날짜·시간,True,,소비가 그만큼 ‘엄숙’해진 것이다.,"◇계엄 해제 안된 내수… 덜 먹고 덜 놀러갔다 서울 여의도의 금융회사에 다니는 김모(44)씨는 원래 작년 12월 16일 부서 차원의 송년 회식에 참석할 예정이었지만, 계엄 여파로 회식이 ‘무기한 연기’됐다.","[4, 9]","['년', '개']",[],[],"다문화가구원을 위해 가장 시급히 해결해야 할 사항(주된응답)(tblId=DT_1SSFA172R); 다문화가구원을 위해 가장 시급히 해결해야 할 사항(복수응답)(tblId=DT_1SSFA173R); 가장 부담되는 자녀 교육비 항목 (30세 이상 가구주)(tblId=DT_1SSED110R); 기부 문화 확산을 위해 가장 필요한 것 (주된응답, 13세 이상 인구) (tblId=DT_1SSSP151R); 기부 문화 확산을 위해 가장 필요한 것 (복수응답, 13세 이상 인구)(tblId=DT_1SSSP152R)",,,판단불가,301,DT_511Y002,13102134688CSI_CD.FME,13103134688999,M,"[Claude 검토] [재검토] 소비자심리지수(CSI)는 한국은행 ""소비자동향조사(전국, 월)"" 표의 세부 항목(itm_id)으로 존재함 확인. org_id/tbl_id 채움, itm_id는 로컬 메타조회 필요 | obj_l1 수동 선택 필요(CSI코드별, 후보 37개 -> obj_l1_candidates 컬럼 참고) / 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: CSI분류코드별",13102134688CSI_CD.FMA:경제인식조사; 13102134688CSI_CD.FMAA:현재생활형편CSI; 13102134688CSI_CD.FMBA:생활형편전망CSI; 13102134688CSI_CD.FMCA:가계수입전망CSI; 13102134688CSI_CD.FMCCA:내구재 지출전망CSI; 13102134688CSI_CD.FMDA:현재가계저축CSI; 13102134688CSI_CD.FMDE:주택·상가가치전망CSI; 13102134688CSI_CD.FMFA:물가수준전망(1년후)CSI; 13102134688CSI_CD.FMAB:현재경기판단CSI; 13102134688CSI_CD.FMB:경제전망조사; 13102134688CSI_CD.FMBB:향후경기전망CSI; 13102134688CSI_CD.FMCB:소비지출전망CSI; 13102134688CSI_CD.FMCCB:의류비 지출전망CSI; 13102134688CSI_CD.FMDC:가계저축전망CSI; 13102134688CSI_CD.FMDF:토지·임야가치전망CSI; 13102134688CSI_CD.FMFB:주택가격전망CSI; 13102134688CSI_CD.FMBE:취업기회전망CSI; 13102134688CSI_CD.FMC:소비지출전망조사; 13102134688CSI_CD.FMCC:항목별 소비지출전망조사; 13102134688CSI_CD.FMCCC:외식비 지출전망CSI; 13102134688CSI_CD.FMDB:현재가계부채CSI; 13102134688CSI_CD.FMDG:금융저축가치전망CSI; 13102134688CSI_CD.FMFC:임금수준전망CSI; 13102134688CSI_CD.FMBG:금리수준전망CSI; 13102134688CSI_CD.FMCCD:여행비 지출전망CSI; 13102134688CSI_CD.FMD:가계저축 및 부채조사; 13102134688CSI_CD.FMDD:가계부채전망CSI; 13102134688CSI_CD.FMDH:주식가치전망CSI; 13102134688CSI_CD.FMFD:물가수준전망(6개월후)CSI(~2012.12월); 13102134688CSI_CD.FMCCE:교육비 지출전망CSI; 13102134688CSI_CD.FMF:물가전망조사; 13102134688CSI_CD.FMCCF:의료·보건비 지출전망CSI; 13102134688CSI_CD.FMG:자산가치전망조사(~2012.12월); 13102134688CSI_CD.FMCCG:교양·오락·문화생활비 지출전망CSI; 13102134688CSI_CD.FME:소비자심리지수; 13102134688CSI_CD.FMCCH:교통비 및 통신비 지출전망CSI; 13102134688CSI_CD.FMCCI:주거비 지출전망CSI,,,,,,,,데이터 없음(응답은 성공했으나 매칭 실패),CHANGE_RATE,4.0,,KOSIS 응답에 숫자 DT 값이 없음,판단불가,,KOSIS 실제값을 못 가져옴 (표/시점/분류 코드 재확인 필요)
C01005,140,주유소 기름값 13주 연속 오름세... 고환율·국제유가 영향,2025-01-11,https://www.chosun.com/economy/market_trend/2025/01/11/L5AR3WGRQFGCXKI6LGZ2VENLY4,11일 한국석유공사 유가정보시스템 오피넷에 따르면 1월 둘째 주(5∼9일) 전국 주유소 휘발유 평균 판매가는 직전 주 대비 L당 15.7원 상승한 1686.7원을 기록했다.,금액,금액; 날짜·시간,True,전국,"원·달러 환율이 상승세를 이어가고 있는 데다, 국제유가도 상승한 여파다.","가격이 가장 높은 서울은 직전 주보다 17.6원 상승한 1747.2원, 가격이 가장 낮은 대구는 15.5원 오른 1658.6원으로 나타났다.","[11, 1, 9, 15.7, 1686.7]","['일', '월', '일', '원', '원']",[],['전국'],종사자의 국제결혼중개업자 대상 교육 여부 : 2020년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002000); 종사자의 국제결혼중개업자 대상 교육 여부 : 2021년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002100); 종사자의 국제결혼중개업자 대상 교육 여부 : 2022년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002200); 성별 구직단념자(2014.1월~현재)(tblId=DT_1DA7156AS); 행정구역(시도)/산업별(제조업 중분류) 고용(2021년 1월 이후)(tblId=DT_118N_MONC56),,,판단불가,318,TX_31802_A000,,16318AAA0,,"[Claude 검토] 전국 주유소 휘발유 평균 판매가(오피넷) 관련, KOSIS ""주유소 제품별 평균 판매가격"" 표로 판단, org_id/tbl_id 채움 | obj_l1 수동 선택 필요(제품별, 후보 4개 -> obj_l1_candidates 컬럼 참고)",15318AA1AA:보통휘발유; 15318AA1AB:실내등유; 15318AA1AC:보일러등유; 15318AA1AE:자동차용 경유,,1979.31,202604,1596.01,202604,24.016140249747806,383.29999999999995,,CHANGE_RATE,15.7,24.016140249747806,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,8.316140249747807,"claim=15.7, actual=24.016140249747806, 오차=8.316 (허용=0.3)"
C01007,140,주유소 기름값 13주 연속 오름세... 고환율·국제유가 영향,2025-01-11,https://www.chosun.com/economy/market_trend/2025/01/11/L5AR3WGRQFGCXKI6LGZ2VENLY4,상표별로는 알뜰주유소의 평균 가격이 1660.5원으로 가장 저렴했다.,금액,금액,True,,"가격이 가장 높은 서울은 직전 주보다 17.6원 상승한 1747.2원, 가격이 가장 낮은 대구는 15.5원 오른 1658.6원으로 나타났다.",경유 평균 판매가격은 L당 17.2원 상승한 1533.5원으로 나타났다.,[1660.5],['원'],[],[],올해 중 가장 길게 일한 아르바이트의 일주일 평균 근로 일수(tblId=DT_154022_22AA208600); 올해 중 가장 길게 일한 아르바이트의 하루 평균 근로 시간(tblId=DT_154022_22AA208700); 주유소 제품별 평균 판매가격(tblId=TX_31802_A000); 맞벌이부부 및 가구주의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA111R); 맞벌이부부 및 여자 배우자의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA112R),,,판단불가,318,TX_31802_A000,,16318AAA0,,"[Claude 검토] 알뜰주유소 평균가격 관련, 동일 표로 추정되나 브랜드(알뜰주유소)별 분류축 존재 여부 확인 필요 | obj_l1 수동 선택 필요(제품별, 후보 4개 -> obj_l1_candidates 컬럼 참고)",15318AA1AA:보통휘발유; 15318AA1AB:실내등유; 15318AA1AC:보일러등유; 15318AA1AE:자동차용 경유,,1979.31,202604,1596.01,202604,24.016140249747806,383.29999999999995,,LEVEL,1660.5,1979.31,actual_value 컬럼 사용,불일치,0.1610712824165997,"claim=1660.5, actual=1979.31, 오차=0.161 (허용=0.05)"
C01008,140,주유소 기름값 13주 연속 오름세... 고환율·국제유가 영향,2025-01-11,https://www.chosun.com/economy/market_trend/2025/01/11/L5AR3WGRQFGCXKI6LGZ2VENLY4,경유 평균 판매가격은 L당 17.2원 상승한 1533.5원으로 나타났다.,금액,금액,True,,상표별로는 알뜰주유소의 평균 가격이 1660.5원으로 가장 저렴했다.,알뜰주유소가평균 가격 1506.9원으로 가장 저렴했다.,"[17.2, 1533.5]","['원', '원']",[],[],주유소 제품별 평균 판매가격(tblId=TX_31802_A000); 맞벌이부부 및 가구주의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA111R); 맞벌이부부 및 여자 배우자의 1주일 평균 근로시간 (가구주)(tblId=DT_1SSLA112R); 1주일 평균 근로시간별 맞벌이부부 (가구주)(tblId=DT_1SSLA113R); 맞벌이 부부 및 가구주의 1주일 평균 근로시간(가구주)(tblId=DT_1W4C08),,,판단불가,318,TX_31802_A000,,16318AAA0,,"[Claude 검토] 전국 경유 평균 판매가(오피넷) 관련, KOSIS ""주유소 제품별 평균 판매가격"" 표로 판단, org_id/tbl_id 채움 | obj_l1 수동 선택 필요(제품별, 후보 4개 -> obj_l1_candidates 컬럼 참고)",15318AA1AA:보통휘발유; 15318AA1AB:실내등유; 15318AA1AC:보일러등유; 15318AA1AE:자동차용 경유,,1979.31,202604,1596.01,202604,24.016140249747806,383.29999999999995,,CHANGE_RATE,17.2,24.016140249747806,actual_change_pct 컬럼 사용(전기대비 계산값),불일치,6.816140249747807,"claim=17.2, actual=24.016140249747806, 오차=6.816 (허용=0.3)"
C01009,140,주유소 기름값 13주 연속 오름세... 고환율·국제유가 영향,2025-01-11,https://www.chosun.com/economy/market_trend/2025/01/11/L5AR3WGRQFGCXKI6LGZ2VENLY4,알뜰주유소가평균 가격 1506.9원으로 가장 저렴했다.,금액,금액,True,,경유 평균 판매가격은 L당 17.2원 상승한 1533.5원으로 나타났다.,"최근 기름값 상승세는 중국의 경기부양책, 러시아·이란에 대한 미국의 제재 강화 등으로 국제유가가 올랐기 때문으로 분석된다.",[1506.9],['원'],[],[],거주 주택의 가격 및 월세액(tblId=DT_117074_2018_A157); 자가 가구의 주택 가격(tblId=DT_170002_B011); 자영업자_상품 또는 서비스의 가격 결정 권한(tblId=DT_380002_A005_7TH); [디자인활용업체]제품판매 영향 요소별 비중-가격(2010)(tblId=DT_11526N_2010_A069); 사용 중인 로봇 가격(tblId=DT_114054_074),,,판단불가,318,TX_31802_A000,,16318AAA0,,"[Claude 검토] 알뜰주유소 평균가격 관련, 동일 표로 추정되나 브랜드(알뜰주유소)별 분류축 존재 여부 확인 필요 | obj_l1 수동 선택 필요(제품별, 후보 4개 -> obj_l1_candidates 컬럼 참고)",15318AA1AA:보통휘발유; 15318AA1AB:실내등유; 15318AA1AC:보일러등유; 15318AA1AE:자동차용 경유,,1979.31,202604,1596.01,202604,24.016140249747806,383.29999999999995,,LEVEL,1506.9,1979.31,actual_value 컬럼 사용,불일치,0.23867408339269738,"claim=1506.9, actual=1979.31, 오차=0.239 (허용=0.05)"
