claim_measurement_id,claim_text,claim_value,claim_unit,gold_verifiable,gold_measurement_correct,gold_ready,gold_org_id,gold_tbl_id,gold_tbl_name,gold_itm_id,gold_itm_name,gold_obj_l1,gold_obj_l1_name,gold_prd_se,gold_period,gold_previous_period,gold_value_type,gold_derivation_method,gold_source_unit,gold_source_value,gold_source_previous_value,gold_actual_value,gold_claim_signed_value,gold_abs_error,gold_relative_error_pct,gold_tolerance,gold_verdict,gold_coordinate_status,gold_confidence,gold_canonical_reason,gold_evidence_url,gold_retrieved_at,gold_label_source,human_reviewed
A0006-SP270B11DBD0-m1,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,31.5,%,Y,Y,Y,127,DT_092_115_2009_S023,IT산업별/월별 수출 현황,13103131003T1,IT산업별/월별 수출 현황,13102131003A.AF11100000,반도체,M,202412,202312,증감률,YOY_FROM_LEVEL,달러,14511028387.0,11066415208.0,31.126729968615873,31.5,0.37327003138412707,1.1849842266162764,absolute_error<=0.5%p,일치,UNIQUE,HIGH,MCP 검색 1위이며 반도체 분류 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_092_115_2009_S023&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0006-SP270B11DBD0-m2,12월 수출도 한국의 최대 수출 품목인 반도체가 31.5% 증가한 145억 달러를 기록하며 호실적을 이끌었다.,14500000000.0,달러,Y,Y,Y,127,DT_092_115_2009_S023,IT산업별/월별 수출 현황,13103131003T1,IT산업별/월별 수출 현황,13102131003A.AF11100000,반도체,M,202412,,수준값,DIRECT,달러,14511028387.0,,14511028387.0,14500000000.0,11028387.0,0.07605784137931035,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 검색 1위이며 반도체 분류 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_092_115_2009_S023&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0006-SP382DCE21AF-m1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,683800000000.0,달러,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,Y,2024,,수준값,DIRECT,천달러,683609488.0,,683609488000.0,683800000000.0,190512000.0,0.027860778005264698,relative_error<=0.5%,일치,ALTERNATE_RESOLVED,HIGH,MCP 총수출액 검색 1위; 국가별 표의 계와 값이 같은 공식 대체 좌표,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0006-SP9282109973-m2,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",141900000000.0,달러,Y,Y,Y,127,DT_127005_005,수출 및 수입액,T001,수출액,A020101,반도체,Y,2024,,수준값,DIRECT,백만US$,142086.0,,142086000000.0,141900000000.0,186000000.0,0.13107822410147993,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 메타에 반도체와 수출액 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_127005_005&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0006-SP9461F3F4FE-m2,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,6.6,%,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,M,202412,202312,증감률,YOY_FROM_LEVEL,천달러,61359250.0,57573193.0,6.576076126262453,6.6,0.02392387373754623,0.36248293541736715,absolute_error<=0.5%p,일치,ALTERNATE_RESOLVED,HIGH,기사의 지난 12월을 202412로 정규화하고 전년동월 값으로 계산,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0006-SPA4FBC97BC2-m5,"바이오헬스 수출은 바이오시밀러 등 의약품을 중심으로 전년 대비 13.1% 증가한 151억 달러를 기록했으며, 전 세계적으로 K푸드, K뷰티 선호가 확대되면서 농수산식품 수출은 117억 달러(7.6%), 화장품 수출(102억 달러, +20.6%)은 처음으로 100억 달러를 돌파하면서 역대",10200000000.0,달러,Y,Y,Y,145,DT_145011_A006,화장품 수입 및 수출액 현황,T002,수출액,DATA,데이터,Y,2024,,수준값,DIRECT,천$,10177312.0,,10177312000.0,10200000000.0,22688000.0,0.2224313725490196,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 검증에서 화장품산업현황의 수출액 항목으로 확인,https://kosis.kr/statHtml/statHtml.do?orgId=145&tblId=DT_145011_A006&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0018-SP2F67F9842A-m1,주력 수출 품목인 반도체 수출액이 1419억달러로 역대 최대치를 고쳐 쓰면서 수출 증가세를 주도했다.,141900000000.0,달러,Y,Y,Y,127,DT_127005_005,수출 및 수입액,T001,수출액,A020101,반도체,Y,2024,,수준값,DIRECT,백만US$,142086.0,,142086000000.0,141900000000.0,186000000.0,0.13107822410147993,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 메타에 반도체와 수출액 코드가 직접 존재,https://kosis.kr/statHtml/statHtml.do?orgId=127&tblId=DT_127005_005&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0018-SP32C9008706-m1,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다.,683800000000.0,달러,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,Y,2024,,수준값,DIRECT,천달러,683609488.0,,683609488000.0,683800000000.0,190512000.0,0.027860778005264698,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 총수출액 검색 1위,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0018-SP33EC69A061-m2,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",632000000000.0,달러,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T2,수입액,13102112831A.A,총액,Y,2024,,수준값,DIRECT,천달러,631767209.0,,631767209000.0,632000000000.0,232791000.0,0.03683401898734177,relative_error<=0.5%,일치,ALTERNATE_RESOLVED,HIGH,MCP 메타의 수입액·총액 코드와 직접 일치,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0018-SP6C1F318589-m1,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,61380000000.0,달러,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,M,202412,,수준값,DIRECT,천달러,61359250.0,,61359250000.0,61380000000.0,20750000.0,0.033805799934832195,relative_error<=0.5%,일치,UNIQUE,HIGH,MCP 월별 총수출액 원자료와 직접 일치,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0018-SP6C1F318589-m2,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,6.6,%,Y,Y,Y,360,DT_1R11001_FRM101,품목별 수출액 수입액,13103112831T1,수출액,13102112831A.A,총액,M,202412,202312,증감률,YOY_FROM_LEVEL,천달러,61359250.0,57573193.0,6.576076126262453,6.6,0.02392387373754623,0.36248293541736715,absolute_error<=0.5%p,일치,ALTERNATE_RESOLVED,HIGH,MCP 월별 총수출액의 전년동월비로 재계산,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
A0046-SPD2EDAD8C3F-m2,"반면에 코스피지수와 코스닥지수는 연초보다 각각 9.9%, 21.7% 하락한 채 장을 마쳤다.",21.7,%,Y,Y,Y,343,DT_343_2010_S0065,코스닥 지수,13103792840T1,코스닥지수,13102792840A.02,연월말,Y,2024,2023,증감률,YOY_FROM_LEVEL,지수,678.19,866.57,-21.738578533759533,-21.7,0.038578533759533684,0.17778126156467136,absolute_error<=0.5%p,일치,UNIQUE,HIGH,MCP 연말 코스닥지수의 2023→2024 증감률로 재계산,https://kosis.kr/statHtml/statHtml.do?orgId=343&tblId=DT_343_2010_S0065&vw_cd=MT_ZTITLE,2026-08-05T00:00:00+09:00,KOSIS_MCP_AUTO_V1,N
