claim_measurement_id,article_id,domain,gold_tbl_id,gold_itm_id,gold_obj_l1,development_table_overlap,stage_a_rank,prediction_packet,table_rank,item_rank,coordinate_rank,full_rank,claim_decision,failure_stage
B26CPI01-CPI-MOM-m1,B26CPI01,CPI,DT_1J22042,T02,0,N,3,True,2,2,,,UNRESOLVED,OBJ_MISS
B26CPI01-CPI-YOY-m1,B26CPI01,CPI,DT_1J22042,T03,0,N,3,True,2,2,,,UNRESOLVED,OBJ_MISS
B26CPI01-CORE-YOY-m1,B26CPI01,CPI,DT_1J22042,T03,3,N,4,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI01-LIVING-YOY-m1,B26CPI01,CPI,DT_1J22042,T03,1,N,7,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI02-CPI-MOM-m1,B26CPI02,CPI,DT_1J22042,T02,0,N,3,True,3,3,,,UNRESOLVED,OBJ_MISS
B26CPI02-CPI-YOY-m1,B26CPI02,CPI,DT_1J22042,T03,0,N,5,True,3,3,,,UNRESOLVED,OBJ_MISS
B26CPI02-CORE-YOY-m1,B26CPI02,CPI,DT_1J22042,T03,3,N,4,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI02-LIVING-YOY-m1,B26CPI02,CPI,DT_1J22042,T03,1,N,7,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI03-CPI-MOM-m1,B26CPI03,CPI,DT_1J22042,T02,0,N,3,True,2,2,,,UNRESOLVED,OBJ_MISS
B26CPI03-CPI-YOY-m1,B26CPI03,CPI,DT_1J22042,T03,0,N,5,True,3,3,,,UNRESOLVED,OBJ_MISS
B26CPI03-CORE-YOY-m1,B26CPI03,CPI,DT_1J22042,T03,3,N,10,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI03-LIVING-YOY-m1,B26CPI03,CPI,DT_1J22042,T03,1,N,7,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI04-CPI-MOM-m1,B26CPI04,CPI,DT_1J22042,T02,0,N,3,True,2,2,,,UNRESOLVED,OBJ_MISS
B26CPI04-CPI-YOY-m1,B26CPI04,CPI,DT_1J22042,T03,0,N,5,True,3,3,,,UNRESOLVED,OBJ_MISS
B26CPI04-CORE-YOY-m1,B26CPI04,CPI,DT_1J22042,T03,3,N,4,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26CPI04-LIVING-YOY-m1,B26CPI04,CPI,DT_1J22042,T03,1,N,7,True,2,2,2,2,UNRESOLVED,FULL_HIT
B26EMP01-UNEMP-m1,B26EMP01,EMPLOYMENT,DT_1DA7001S,T80,0,Y,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP01-YOUTH-UNEMP-m1,B26EMP01,EMPLOYMENT,DT_1DA7002S,T80,75,N,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP01-EMPLOYED-m1,B26EMP01,EMPLOYMENT,DT_1DA7001S,T30,0,Y,,False,,,,,NO_PACKET,NO_FINAL_PACKET
B26EMP02-UNEMP-m1,B26EMP02,EMPLOYMENT,DT_1DA7001S,T80,0,Y,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP02-YOUTH-UNEMP-m1,B26EMP02,EMPLOYMENT,DT_1DA7002S,T80,75,N,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP02-EMPLOYED-m1,B26EMP02,EMPLOYMENT,DT_1DA7001S,T30,0,Y,,False,,,,,NO_PACKET,NO_FINAL_PACKET
B26EMP03-UNEMP-m1,B26EMP03,EMPLOYMENT,DT_1DA7001S,T80,0,Y,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP03-YOUTH-UNEMP-m1,B26EMP03,EMPLOYMENT,DT_1DA7002S,T80,75,N,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP03-EMPLOYED-m1,B26EMP03,EMPLOYMENT,DT_1DA7001S,T30,0,Y,,False,,,,,NO_PACKET,NO_FINAL_PACKET
B26EMP04-UNEMP-m1,B26EMP04,EMPLOYMENT,DT_1DA7001S,T80,0,Y,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP04-YOUTH-UNEMP-m1,B26EMP04,EMPLOYMENT,DT_1DA7002S,T80,75,N,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP04-EMPLOYED-m1,B26EMP04,EMPLOYMENT,DT_1DA7001S,T30,0,Y,,False,,,,,NO_PACKET,NO_FINAL_PACKET
B26EMP05-UNEMP-m1,B26EMP05,EMPLOYMENT,DT_1DA7001S,T80,0,Y,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP05-YOUTH-UNEMP-m1,B26EMP05,EMPLOYMENT,DT_1DA7002S,T80,75,N,,True,,,,,UNRESOLVED,STAGE_A_GOLD_TABLE_MISS
B26EMP05-EMPLOYED-m1,B26EMP05,EMPLOYMENT,DT_1DA7001S,T30,0,Y,,False,,,,,NO_PACKET,NO_FINAL_PACKET
