claim_id,article_id,title,date,url,claim_text,prev_sentence,prev_prev_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A0001-C001,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,무안국제공항 제주항공 여객기 참사로 일가족 9명을 잃은 반려견 ‘푸딩이’가 구조됐다.,,,False,특정 사건의 부상 인원에 대한 정보이므로 KOSIS 통계로 검증할 수 없다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C002,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,동물권보호단체 케어는 지난달 31일 공식 인스타그램을 통해 보호자 없이 마을을 배회하던 푸딩이를 안전하게 보호 중이라고 밝혔다.,무안국제공항 제주항공 여객기 참사로 일가족 9명을 잃은 반려견 ‘푸딩이’가 구조됐다.,,False,"현재 문장은 단순한 사실 전달로서, 어떠한 수치나 통계적인 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C003,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,푸딩이는 제주항공 참사 최고령 희생자인 배모(78) 씨 일가족 9명이 키우던 반려견이다.,동물권보호단체 케어는 지난달 31일 공식 인스타그램을 통해 보호자 없이 마을을 배회하던 푸딩이를 안전하게 보호 중이라고 밝혔다.,무안국제공항 제주항공 여객기 참사로 일가족 9명을 잃은 반려견 ‘푸딩이’가 구조됐다.,False,"현재 문장은 특정한 사건에서의 사망자와 관련된 정보로서, 이는 단순한 사실 전달이지 수치나 비율 등의 통계적 주장을 포함하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C004,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,"케어는 푸딩이가 홀로 남았다는 언론 보도와 제보를 접하고 즉시 전남 영광으로 이동했고, 현장에 도착해 마을회관 밖에서 조용히 앉아있는 푸딩이를 발견했다.",푸딩이는 제주항공 참사 최고령 희생자인 배모(78) 씨 일가족 9명이 키우던 반려견이다.,동물권보호단체 케어는 지난달 31일 공식 인스타그램을 통해 보호자 없이 마을을 배회하던 푸딩이를 안전하게 보호 중이라고 밝혔다.,False,"현재 문장은 케어가 푸딩이를 발견한 상황에 대한 설명으로, 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C005,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,케어 측은 “우리를 보자마자 반갑게 달려오는 모습이 영락없이 가족을 기다렸단 생각이 들었다”고 했다.,"케어는 푸딩이가 홀로 남았다는 언론 보도와 제보를 접하고 즉시 전남 영광으로 이동했고, 현장에 도착해 마을회관 밖에서 조용히 앉아있는 푸딩이를 발견했다.",푸딩이는 제주항공 참사 최고령 희생자인 배모(78) 씨 일가족 9명이 키우던 반려견이다.,False,"현재 문장은 케어의 관찰 및 감정에 대한 서술로서, 어떠한 수치나 통계적인 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C006,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,케어는 보호자 없이 마을을 배회하고 있는 푸딩이가 위험하다고 판단해 구조를 결정했다.,케어 측은 “우리를 보자마자 반갑게 달려오는 모습이 영락없이 가족을 기다렸단 생각이 들었다”고 했다.,"케어는 푸딩이가 홀로 남았다는 언론 보도와 제보를 접하고 즉시 전남 영광으로 이동했고, 현장에 도착해 마을회관 밖에서 조용히 앉아있는 푸딩이를 발견했다.",False,"현재 문장은 구조 결정을 내리게 된 상황에 대한 설명이므로, 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C007,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,장례식장에 있는 유가족들과 연락해 협의 끝에 푸딩이를 임시로 보호하기로 했다.,케어는 보호자 없이 마을을 배회하고 있는 푸딩이가 위험하다고 판단해 구조를 결정했다.,케어 측은 “우리를 보자마자 반갑게 달려오는 모습이 영락없이 가족을 기다렸단 생각이 들었다”고 했다.,False,"현재 문장은 임시 보호 결정 과정에 대한 설명으로, 수치나 통계적인 변화를 주장하지 않는다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C008,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,케어는 푸딩이의 건강 상태에 대해서도 우려했다.,장례식장에 있는 유가족들과 연락해 협의 끝에 푸딩이를 임시로 보호하기로 했다.,케어는 보호자 없이 마을을 배회하고 있는 푸딩이가 위험하다고 판단해 구조를 결정했다.,False,"현재 문장은 단순한 우려 표명으로, 수치나 통계적 변화와 관련된 주장이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C009,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,"서울로 이동하는 과정에서 푸딩이가 닭뼈와 양파, 김치 등을 토하는 등 그동안 보살핌 없이 적절한 음식을 제공받지 못한 것으로 보였다.",케어는 푸딩이의 건강 상태에 대해서도 우려했다.,장례식장에 있는 유가족들과 연락해 협의 끝에 푸딩이를 임시로 보호하기로 했다.,False,"현재 문장은 유기견의 건강 상태 및 음식 섭취 상황에 대한 서술로, 이는 특정한 수치나 통계적 변화를 주장하는 것이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C010,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,케어 측은 “유가족과 협의해 일단 서울에서 보호하고 향후 논의하기로 했다”며 “적절한 보호자가 나타날 때까지 푸딩이를 보호할 것”이라고 했다.,"서울로 이동하는 과정에서 푸딩이가 닭뼈와 양파, 김치 등을 토하는 등 그동안 보살핌 없이 적절한 음식을 제공받지 못한 것으로 보였다.",케어는 푸딩이의 건강 상태에 대해서도 우려했다.,False,"현재 문장은 특정 사건에 대한 보호 조치 및 계획에 관한 내용으로, 수치나 통계적인 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C011,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,배 씨는 팔순을 앞두고 가족과 함께 태국으로 첫 해외여행을 떠났다가 비극적인 사고를 당했다.,케어 측은 “유가족과 협의해 일단 서울에서 보호하고 향후 논의하기로 했다”며 “적절한 보호자가 나타날 때까지 푸딩이를 보호할 것”이라고 했다.,"서울로 이동하는 과정에서 푸딩이가 닭뼈와 양파, 김치 등을 토하는 등 그동안 보살핌 없이 적절한 음식을 제공받지 못한 것으로 보였다.",False,"현재 문장은 개인 여행 중 발생한 사고에 대한 내용으로, 이는 KOSIS에서 제공하는 통계 자료와는 관련이 없습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C012,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,"배 씨는 영광군 군남면의 한 마을에서 아내 임모(64) 씨와 큰딸, 외손녀 정모(6) 양과 살았다.",배 씨는 팔순을 앞두고 가족과 함께 태국으로 첫 해외여행을 떠났다가 비극적인 사고를 당했다.,케어 측은 “유가족과 협의해 일단 서울에서 보호하고 향후 논의하기로 했다”며 “적절한 보호자가 나타날 때까지 푸딩이를 보호할 것”이라고 했다.,False,"현재 문장은 배 씨가 가족 구성원과 어디서 거주했는지에 대한 정보만 제공하고 있으며, 이는 수치나 통계적 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C013,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,광주에서 일하는 큰사위는 주말마다 집을 찾았다고 한다.,"배 씨는 영광군 군남면의 한 마을에서 아내 임모(64) 씨와 큰딸, 외손녀 정모(6) 양과 살았다.",배 씨는 팔순을 앞두고 가족과 함께 태국으로 첫 해외여행을 떠났다가 비극적인 사고를 당했다.,False,"현재 문장은 가족 구성원의 생활 패턴에 대한 단순한 서술로서, 수치나 통계적 변화를 주장하지 않습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
A0001-C014,A0001,"9명 가족 잃고, 하염없이 기다리던 푸딩이... 동물단체가 구조",2025-01-01,https://www.chosun.com/national/national_general/2025/01/01/7S62UVQCONDSPA5G4OQF3NYSDI,이들 5명과 작은 딸과 세 자녀까지 모두 9명이 함께 여행을 갔다가 영영 돌아오지 못했다.,광주에서 일하는 큰사위는 주말마다 집을 찾았다고 한다.,"배 씨는 영광군 군남면의 한 마을에서 아내 임모(64) 씨와 큰딸, 외손녀 정모(6) 양과 살았다.",False,"현재 문장은 사고로 인해 가족들이 돌아오지 못한 사건에 대한 내용으로, 이는 단순한 사건 보고이지 수치나 통계적인 변화를 주장하는 내용이 아닙니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-07-30
