claim_id,gold_domain,claim_text,source_status,gold_verifiable,gold_exclusion_reason,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_prd_se,gold_target_period,gold_prev_period,gold_verdict,gold_evidence
C04329,물가,이날 발표된 1월 물가상승률(3%)은 다음 달 19일 등으로 예정된 향후 연방공개시장위원회(FOMC)가 미국 기준금리 인하 속도를 늦출 수 있는 지표로 받아들여진다.,재검토필요_정확시점불일치,N,KOSIS 미제공,,,,,,,,판단불가,KOSIS 미제공: 미국 소비자물가
C04369,물가,이날 발표된 1월 물가상승률(3%)은 다음 달 19일 등으로 예정된 향후 연방공개시장위원회(FOMC)가 미국 기준금리 인하 속도를 늦출 수 있는 지표로 받아들여진다.,재검토필요_정확시점불일치,N,KOSIS 미제공,,,,,,,,판단불가,KOSIS 미제공: 미국 소비자물가
C04611,물가,"비스킷(7.0%), 케이크(3.3%), 빵(3.2%) 등 밀가루를 원료로 하는 가공식품 값도 일제히 올랐다.",재검토필요_정확시점불일치,Y,,DT_1J22112,T10,B01A01116,T,M,202501,202401,일치,DT_1J22112 202501=134.32; 202401=130.1; 두 시점 증감률; 결과=3.243658724058416
C09334,물가,지난달 외식 물가 역시 전년 대비 3.0% 오르면서 2개월 연속 3% 상승을 기록했다.,재검토필요_정확시점불일치,Y,,DT_1J22112,T10,F01,T,M,202503,202403,일치,DT_1J22112 202503=123.8; 202403=120.21; 두 시점 증감률; 결과=2.9864403959737156
C10196,물가,반대로 독일 국채 10년물의 가치는 3.3% 올랐다.,재검토필요_정확시점불일치,N,KOSIS 미제공,,,,,,,,판단불가,KOSIS 미제공: 독일 국채 가격
C15156,물가,그는 또 “낮은 관세가 적용될 경우 인플레이션은 3%까지 상승했다가 점차 낮아질 것”이라며 “연내 금리 인하와 같은 부양 조치가 있을 수 있다”고 했다.,재검토필요_정확시점불일치,N,정보 부족,,,,,,,,판단불가,정보 부족: 관세 시나리오에 따른 전망 문장
C15315,물가,외식 물가도 전달에 이어 3.2% 올랐다.,재검토필요_정확시점불일치,Y,,DT_1J22112,T10,F01,T,M,202505,202405,일치,DT_1J22112 202505=124.56; 202405=120.68; 두 시점 증감률; 결과=3.2151143520052994
C19718,물가,가공식품 물가는 4.2% 뛰며 전체 물가를 0.36%p 끌어올렸다.,재검토필요_정확시점불일치,N,기여도 미제공,,,,,,,,판단불가,기여도 미제공: 가공식품의 전체 물가 기여도 0.36%p
C20252,물가,"특히 축산물(5.4%), 수산물(6.4%), 가공식품(4.2%), 외식(3.4%) 등 먹거리 가격이 소비자물가보다 상승률이 더 높았다.",재검토필요_정확시점불일치,Y,,DT_1J22112,T10,F01,T,M,202510,202410,불일치,DT_1J22112 202510=125.49; 202410=121.86; 두 시점 증감률; 결과=2.978828163466269
C20277,물가,"소비자물가 상승률 중 농축수산물의 기여도는 0.25%p로 다른 항목에 비해 낮았으나, 개별 품목은 크게 올랐다.",재검토필요_정확시점불일치,N,기여도 미제공,,,,,,,,판단불가,기여도 미제공: 농축수산물의 전체 물가 기여도 0.25%p
