gold_id,claim_id,article_id,title,date,url,claim_text,claim_type,claim_value,claim_unit,gold_label,gold_label_tier,gold_verifiable,gold_ready,human_reviewed,gold_org_id,gold_tbl_id,gold_tbl_name,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_item_name,gold_category_name,gold_prd_se,gold_period,gold_previous_period,gold_source_value,gold_previous_source_value,gold_source_unit,gold_actual_value,gold_derivation_method,gold_coordinate_status,gold_label_source,gold_evidence_url,gold_evidence_batch,gold_retrieved_at,semantic_audit_status,semantic_audit_reason,semantic_indicator,semantic_indicator_explicit,semantic_table_item_mismatch_detail,semantic_explicit_concept_mismatch,semantic_claim_unit_dimension,semantic_source_unit_dimension,semantic_derived_mapping,semantic_claim_prd_se,semantic_claim_period,semantic_claim_previous_period,coordinate_audit_status,coordinate_audit_reason,official_tbl_name,official_itm_name,official_itm_unit,mcp_verification_id,mcp_search_keyword,mcp_search_status,mcp_validate_status,mcp_get_data_status,mcp_actual_value,mcp_previous_actual_value,mcp_actual_unit,mcp_coordinate_confirmed,mcp_value_confirmed,mcp_series_note,mcp_retrieved_at,mcp_evidence_url
MCPG-001,C00078,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,LEVEL,6838.0,"['년', '일']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2024,N/A,683609488.0,N/A,천달러,6836.09488,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,수출액,Y,,,currency,currency,N,Y,2024,,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-001,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,683609488,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-002,C00090,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,CHANGE_RATE,6.6,"['월', '%', '개', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,202312,61359250.0,57573193.0,천달러,6.576076126262444,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,수출액,Y,,,rate,currency,Y,M,202412,202312,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-002,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,61359250,57573193,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-003,C00093,A0006,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,"전년 대비 월간 수출 증가율은 8월(11%), 9월(7.5%), 10월(4.6%), 11월(1.4%)로 계속 감소 중이었으나, 12월에 6.6%로 반등에 성공한 것이다.",CHANGE_RATE,6.6,"['월', '%', '월', '%', '월', '%', '월', '%', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,202312,61359250.0,57573193.0,천달러,6.576076126262444,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,수출액,Y,,,rate,currency,Y,M,202412,202312,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-002,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,61359250,57573193,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-004,C00381,A0041,치솟는 환율에 식품 물가도 급등,2025-01-04,https://www.chosun.com/economy/economy_general/2025/01/04/7SPGFC4RFZEDLDPFTQHVDM2K2E,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다.",CHANGE_RATE,2.3,"['개', '%', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,DT_1J22003,소비자물가지수(2020＝100),T10,N/A,T,소비자물가지수(총지수),전국,Y,2024,2023,114.18,111.59,2020＝100,2.3209965050631807,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22003&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,소비자물가지수,Y,,,rate,unknown,Y,Y,2024,2023,PASS,,소비자물가지수(2020=100),소비자물가지수(총지수),2020=100,KOSIS-ACTUAL-003,소비자물가지수 2020=100,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,114.18,111.59,2020＝100,Y,Y,KOSIS 조사연혁상 요청 기간에 2023년 개편 이력이 있어 연결 해석 주의,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22003&conn_path=MT_ZTITLE
MCPG-005,C01375,A0191,“트럼프 2기 출범 후 일괄 관세 부과하면 한국 수출 큰 타격”,2025-01-15,https://www.chosun.com/economy/economy_general/2025/01/15/NGXOCXC67ZDMXJGBKFCDZHY77Q,한국의 수출 증가율(전년 동월 대비)은 지난해 7월 13.5%를 기록한 이후 계속해서 떨어져 지난 11월에는 1.4%로 둔화됐다.,CHANGE_RATE,1.4,"['월', '%', '월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202411,202311,56288629.0,55561090.0,천달러,1.3094397536117452,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,수출액,Y,,,rate,currency,Y,M,202411,202311,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-002,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,56288629,55561090,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-009,C02892,A0368,내수 부진에 계엄·탄핵 ‘겹악재’...청년 고용률 43개월 만에 최저,2025-01-29,https://www.chosun.com/economy/economy_general/2025/01/29/K4EFBRTSPNCKPIDHOQOSPUXDTM,청년 고용률이 45% 아래로 떨어진 건 코로나가 한창 기승하던 2021년 5월(44.4%) 이후 43개월 만이다.,LEVEL,44.4,"['%', '년', '월', '%', '개']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,DT_1DA7002S,연령별 경제활동인구 총괄,75,N/A,T90,고용률,15 - 29세,M,202105,N/A,44.4,N/A,%,44.4,MCP current value × source unit scale (1),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.434Z,PASS,,고용률,Y,,,rate,rate,N,M,202105,,PASS,,연령별 경제활동인구 총괄,고용률,%,KOSIS-ACTUAL-004,연령별 경제활동인구 총괄 15-29세 고용률,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,44.4,N/A,%,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S&conn_path=MT_ZTITLE
MCPG-011,C03779,A0478,"작년 경상수지 흑자 990억달러...전년보다 3배로↑,역대 두번째 규모",2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/RO32ISHXHREYLO3V4B2GJHWXEI,작년 12월 수출은 전년보다 6.6% 늘어난 633억달러를 기록했다.,LEVEL,633.0,"['월', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,N/A,61359250.0,N/A,천달러,613.5925,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.435Z,PASS,,수출액,Y,,,currency,currency,N,M,202412,202312,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-002,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,61359250,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-012,C03850,A0489,경상수지 역대 둘째로 많은 흑자 낸 까닭은,2025-02-07,https://www.chosun.com/economy/economy_general/2025/02/07/JXWFUVYXYRFO3OXEWCPCGJUSGE,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",LEVEL,633.0,"['월', '%', '%']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,M,202412,N/A,61359250.0,N/A,천달러,613.5925,MCP current value × source unit scale (1e-05),MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.435Z,PASS,,수출액,Y,,,currency,currency,N,M,202412,202411,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-002,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,61359250,N/A,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-013,C04394,A0555,‘무역 전쟁’ 먹구름… KDI도 성장률 전망 1.6%로 낮췄다,2025-02-12,https://www.chosun.com/economy/economy_general/2025/02/12/ET3EQF2MVBAHFFHKLSQYVTVVTM,지난해 수출은 전년 대비 8.2% 증가하며 역대 최대 실적을 기록했다.,CHANGE_RATE,8.2,['%'],SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,360,DT_1R11001_FRM101,품목별 수출액 수입액,13102112831A.A,N/A,13103112831T1,수출액,총액,Y,2024,2023,683609488.0,632225824.0,천달러,8.127422520469521,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.435Z,PASS,,수출액,Y,,,rate,currency,Y,Y,2024,2023,PASS,,"품목별 수출액, 수입액",수출액,천달러,KOSIS-ACTUAL-001,품목별 수출액 수입액,FOUND_EXACT,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,683609488,632225824,천달러,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101&conn_path=MT_ZTITLE
MCPG-016,C05780,A0736,작년 출생아 수 9년 만에 추락 멈췄다... 전년 대비 3.6% 늘어,2025-02-26,https://www.chosun.com/economy/economy_general/2025/02/26/5GBKUCD4IZBE7PA33W2SH2256A,54 지난해 출생아 수가 전년 대비 3.6% 늘어나며 9년 만에 반등한 것으로 나타났다.,CHANGE_RATE,3.6,"['%', '년']",SUPPORTS,FULL_KOSIS_MCP,Y,Y,N,101,INH_1B8000F_01,출생아수 합계출산율 자연증가 등,11,N/A,T1,인구동태건수 및 동태율 추이,출생아수(명),Y,2024,2023,238317.0,230028.0,명,3.6034743596431738,(MCP current − MCP previous) / |MCP previous| × 100,MCP_ACTUAL_VALUE_CONFIRMED,KOSIS_MCP_GET_DATA,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1B8000F_01&vw_cd=MT_ZTITLE&list_id=&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,241-269,2026-08-06T00:44:40.435Z,PASS,,출생아수,Y,,,rate,person_count,Y,Y,2024,2023,PASS,,"출생아수, 합계출산율, 자연증가 등",인구동태건수 및 동태율 추이,,KOSIS-ACTUAL-005,인구동향조사 출생아수,FOUND_BY_EXACT_TABLE_VALIDATION,VALID_COORDINATE,ACTUAL_VALUES_RETURNED,238317,230028,명,Y,Y,N/A,2026-08-13,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1B8000F_01&conn_path=MT_ZTITLE
