claim_id,claim_text,obj_l1_matched,itm_id_matched
C01163,"앞서 지난해 12월 수출은 전년 동월 대비 6.6% 증가한 613억 8000만달러를 기록해, 15개월 연속 증가세를 보였다.",13102112831A.A:총액; 13102112831A.05672:토마토 조제 및 가공처리한 것(기타 식초    또는 초산 제외 전체 또는 조각성의   ; 13102112831A.29193:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 ; 13102112831A.55433:자동차 차체용의 광택제와 이와 유사한  조제품(금속용 광택제 제외); 13102112831A.57421:반도체 제조용의것; 13102112831A.6251:승용자동차용의 공기타이어 ; 13102112831A.62510:기타(승용자동차용의 공기타이어 ); 13102112831A.62519:기타 승용자동차용의 공기타이어; 13102112831A.72821: 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치 제조를 위한 기계 및 기구; 13102112831A.72822:마스크나 레티클 제작 및 수리 반도체 장비 또는 집적회로 조립 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치를 들어올리고 다루며 적재 하역하는 것에만 유일하게 또는 주로 사용되는 기계 및 기구; 13102112831A.77242:자동차단기 ; 13102112831A.77243:기타 자동차단기 ; 13102112831A.77252:자동차단기 ; 13102112831A.77313:점화용 와이어링 세트와 기타의 와이어링  세트(자동차 항공기선반용의 것); 13102112831A.7763:다이오드트랜지스터 기타 이와 유사한 반도체 디바이스; 13102112831A.77637:감광성 반도체 디바이스 및 발광다이오드 ; 13102112831A.77639:기타의 반도체소자 ; 13102112831A.77864:세라믹유 전체의 고정식 축전기(단층) ; 13102112831A.77865:세라믹유 전체의 고정식 축전기(다층) ; 13102112831A.77866:종이 또는 플라스틱류 전체의 고정식 축전기 ,
C03193,"일평균 수출은 전년 동월 대비 7.7% 증가한 25억 달러로, 2022년(25억 달러)에 이어 역대 1월 중 둘째로 높은 수준을 기록했다.",13102112831A.A:총액; 13102112831A.05672:토마토 조제 및 가공처리한 것(기타 식초    또는 초산 제외 전체 또는 조각성의   ; 13102112831A.29193:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 ; 13102112831A.77864:세라믹유 전체의 고정식 축전기(단층) ; 13102112831A.77865:세라믹유 전체의 고정식 축전기(다층) ; 13102112831A.77866:종이 또는 플라스틱류 전체의 고정식 축전기 ; 13102112831A.84625:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하),
C04193,"KDI는 “지난달 반도체를 포함한 ICT 품목의 일평균 수출은 전년 동월 대비 25% 증가했지만, ICT를 제외한 품목들의 일평균 수출액은 1.7% 감소했다”고 했다.",13102112831A.A:총액; 13102112831A.05672:토마토 조제 및 가공처리한 것(기타 식초    또는 초산 제외 전체 또는 조각성의   ; 13102112831A.29193:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 ; 13102112831A.57421:반도체 제조용의것; 13102112831A.72821: 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치 제조를 위한 기계 및 기구; 13102112831A.72822:마스크나 레티클 제작 및 수리 반도체 장비 또는 집적회로 조립 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치를 들어올리고 다루며 적재 하역하는 것에만 유일하게 또는 주로 사용되는 기계 및 기구; 13102112831A.7763:다이오드트랜지스터 기타 이와 유사한 반도체 디바이스; 13102112831A.77637:감광성 반도체 디바이스 및 발광다이오드 ; 13102112831A.77639:기타의 반도체소자 ; 13102112831A.77864:세라믹유 전체의 고정식 축전기(단층) ; 13102112831A.77865:세라믹유 전체의 고정식 축전기(다층) ; 13102112831A.77866:종이 또는 플라스틱류 전체의 고정식 축전기 ; 13102112831A.84625:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하); 13102112831A.89846:반도체 미디어장치,
C05005,"지난 달 설 연휴로 인해 조업일수가 4일 감소하면서 자동차 전체 수출대수와 수출액이 각각 전년대비 17.9%, 19.6% 줄어든 가운데서도 하이브리드차의 상승세는 꺾이지 않은 것이다.",13102112831A.55433:자동차 차체용의 광택제와 이와 유사한  조제품(금속용 광택제 제외); 13102112831A.6251:승용자동차용의 공기타이어 ; 13102112831A.62510:기타(승용자동차용의 공기타이어 ); 13102112831A.62519:기타 승용자동차용의 공기타이어; 13102112831A.77242:자동차단기 ; 13102112831A.77243:기타 자동차단기 ; 13102112831A.77252:자동차단기 ; 13102112831A.77313:점화용 와이어링 세트와 기타의 와이어링  세트(자동차 항공기선반용의 것); 13102112831A.781:승용자동차 및 기타의 차량; 13102112831A.782:화물자동차 및 특수목적차량; 13102112831A.7821:화물자동차; 13102112831A.78219:달리 명시되지 않은 화물자동차 ; 13102112831A.7831:대중수송형 승용자동차; 13102112831A.7841:원동기를 갖춘 샤시(제722항 781 782항  및 783항의 자동차용의 것); 13102112831A.78410:기타(원동기를 갖춘 샤시(제722항 781 782항  및 783항의 자동차용의 것)); 13102112831A.7842:차체(제722항781항782항 및 783항의 자동차용의 것),
C06796,"품목으로 보면 통관 기준으로 컴퓨터(14.8%)·반도체(7.2%) 등 정보기술(IT) 품목은 증가세를 이어갔지만, 석유제품(-29.2%)·승용차(-19.2%) 등 비IT 품목의 감소 폭이 커졌다.",13102112831A.33:석유석유제품 및 관련물질; 13102112831A.57421:반도체 제조용의것; 13102112831A.72821: 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치 제조를 위한 기계 및 기구; 13102112831A.72822:마스크나 레티클 제작 및 수리 반도체 장비 또는 집적회로 조립 불이나 웨이퍼 반도체 장비 또는 집적회로 평면판표시장치를 들어올리고 다루며 적재 하역하는 것에만 유일하게 또는 주로 사용되는 기계 및 기구; 13102112831A.7763:다이오드트랜지스터 기타 이와 유사한 반도체 디바이스; 13102112831A.77637:감광성 반도체 디바이스 및 발광다이오드 ; 13102112831A.77639:기타의 반도체소자 ; 13102112831A.89846:반도체 미디어장치,
C07183,"실제 지난 2월 수출은 전년 동월 대비 1.0% 증가했지만, 일평균 기준으로는 전월보다 5.9% 감소하며 수출 증가세가 둔화되고 있다.",13102112831A.A:총액; 13102112831A.05672:토마토 조제 및 가공처리한 것(기타 식초    또는 초산 제외 전체 또는 조각성의   ; 13102112831A.29193:동물(어류 제외)의 장 방광이나 위의 전체     또는 단편 ; 13102112831A.77864:세라믹유 전체의 고정식 축전기(단층) ; 13102112831A.77865:세라믹유 전체의 고정식 축전기(다층) ; 13102112831A.77866:종이 또는 플라스틱류 전체의 고정식 축전기 ; 13102112831A.84625:기타 여성 전체 또는 무릎길이 스타킹(면사 67decitex 이하),
C03047,대한민국 주민등록 인구 중 65세 이상 비율이 20%를 넘어섰다.,00:전국; 11650:서초구; 26500:수영구; 26530:사상구; 28245:계양구; 28265:서구검단출장소; 41465:수지구; 41650:포천시; 44250:계룡시,
C03332,이 경우 실질 국내총생산(GDP)도 0.29∼0.67% 수준으로 감소할 것으로 예측했다.,13102136275ACC_ITEM.1200:총부가가치(기초가격); 13102136275ACC_ITEM.1400:국내총생산(시장가격 GDP); 13102136275ACC_ITEM.1600:국내총소득(GDI); 13102136275ACC_ITEM.1800:국민총소득(GNI),
C04947,지난해 3분기 근로자 가구의 월평균 근로소득은 506만원으로 전년 같은 기간(493만원)보다 2.6% 늘었다.,B4:　　근로소득; D:가계지출,
C04952,"◇근로소득세 비율 역대 최고 반면 작년 법인세는 62조5000억원 걷혀, 10년 전 대비 1.5배로 늘어나는 데 그쳤다.",15133SMB000101010102:근로소득세(납세조합징수분을); 15133SMB0001010102001:근로소득세(갑); 15133SMB000101010204:근로소득세; 15133SMB00010102:법인세; 15133SMB0E0101010102:근로소득세(납세조합징수분을); 15133SMB0E0101010204:근로소득세(갑); 15133SMB0E0101010204A:근로소득세; 15133SMB0E010102:법인세; 15133SMB0F0101010102:근로소득세(납세조합징수분을); 15133SMB0F0101010204:근로소득세(갑); 15133SMB0F0101010204A:근로소득세; 15133SMB0F010102:법인세,
C04955,그 결과 2022년 26.2%에 달했던 전체 세수 대비 법인세 비율은 작년 18.6%로 쪼그라들었다.,15133SMB00010102:법인세; 15133SMB0E010102:법인세; 15133SMB0F010102:법인세,
