claim_measurement_id,bucket,group,claim_text
A0004-SP7C04DFBFD3-m1,COORDINATE_RETURNS_NOTHING,시스템 한계,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.
A0005-SP4D2596C117-m1,PERIOD_AFTER_ARTICLE,확인 불가,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다."
A0005-SP4D2596C117-m2,PERIOD_AFTER_ARTICLE,확인 불가,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다."
A0005-SP4D2596C117-m3,PERIOD_AFTER_ARTICLE,확인 불가,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다."
A0005-SP4D2596C117-m4,PERIOD_AFTER_ARTICLE,확인 불가,"분야는 생활가전(18%) 디지털헬스(17%), 인공지능(16%), 스마트 홈(12%) 순으로 집계됐다."
A0006-SP382DCE21AF-m1,CONFIRMED,확정,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.
A0006-SP454B0C203E-m3,CONFIRMED,확정,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)"
A0006-SP454B0C203E-m4,UNIT_UNVERIFIABLE,시스템 한계,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)"
A0006-SPBCB2234D20-m1,CONFIRMED,확정,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.
A0006-SP9282109973-m1,CANDIDATE_NOT_DECISIVE,시스템 한계,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월"
