claim_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A2698-C010,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",9월 서비스업생산은 전년 동월 대비 6.2% 증가했다.,소비자심리지수도 109.8로 높은 수준을 유지했다.,True,서비스업 생산의 증가율 및 소비자심리지수에 대한 언급은 국가 경제 지표로서 KOSIS에서 관련 통계를 확인할 수 있다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C011,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,소비자심리지수도 109.8로 높은 수준을 유지했다.,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",시장금리 하락세와 2차 민생회복 소비쿠폰 지급 등으로 소비 여건이 개선된 영향이다.,True,"소비자심리지수가 109.8이라는 구체적인 수치를 제시하며, 이는 경제 상황에 대한 평가로서 국가통계포털(KOSIS) 등에서 관련 통계를 확인할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C014,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,"정부는 7월 전국민 대상 1인당 15만원(최대 55만원), 9~10월 소득 상위 10%를 제외한 국민 90%를 대상으로 1인당 10만원의 소비쿠폰을 지급한 바 있다.","최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",True,현재 문장은 '최근 추세와 더 밀접한 전월 대비 소매판매 추이'라는 표현을 통해 KOSIS에서 제공하는 통계 자료와 비교 가능한 내용을 포함하고 있습니다.,high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C015,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,True,"문장에서 '소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소했다'라는 구체적인 수치 변화를 언급하며 이는 KOSIS에서 산업활동동향을 통해 검증 가능한 내용이기 때문에 판단 근거로 적합하다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C017,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.",소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,True,"현재 문장은 3분기 전체 소매판매가 2분기 대비 0.7% 증가했다는 구체적인 수치 정보를 포함하고 있으며, 이러한 정보는 국가통계포털(KOSIS)에서 제공하는 경제 지표 중 하나로 확인될 수 있다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C018,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.","◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.",True,"문장에서 '소비'가 다시 힘을 잃어간다는 표현은 경제 활동의 감소를 의미하며, 이를 통해 소매판매나 경제 성장률 등의 통계적 변화를 유추할 수 있다.",mid,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C019,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.",일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,True,"수출 증가세의 둔화에 대한 언급은 국가 경제 지표 중 하나로, KOSIS에서 수출 관련 통계를 통해 검증할 수 있다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C020,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.","반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다.",True,"현재 문장은 10월 수출이 전년 동월 대비 3.6% 증가했다는 구체적인 수치 정보를 포함하고 있으며, 이는 국가 경제 지표로서 KOSIS에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C021,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다.",10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,"미국으로의 수출이 감소세를 지속한 가운데, 반도체를 제외한 품목의 부진으로 일평균 수출액은 완만하게 둔화되는 모습이다.",True,"문장에서 '수출 증가세가 점차 둔화됐다.'라는 표현은 수출의 변화에 대한 통계적인 주장을 하고 있으며, 이는 국가통계포털(KOSIS)에서 검증 가능한 내용이다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
A2698-C022,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"미국으로의 수출이 감소세를 지속한 가운데, 반도체를 제외한 품목의 부진으로 일평균 수출액은 완만하게 둔화되는 모습이다.","반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다.",9~10월 일평균 수출액은 3.2% 증가에 그쳤다.,True,"현재 문장은 미국으로의 수출이 감소세를 지속하며, 반도체를 제외한 품목의 부진으로 인해 일평균 수출액이 둔화되고 있다는 내용을 포함하고 있습니다. 이는 수출 증가율 및 일평균 수출액의 변화에 대한 통계적인 주장을 하고 있으므로 KOSIS를 통해 검증 가능합니다.",high,hcx,HCX-007,isclaim-v1.2-kosis-combined,2026-07-23
