claim_id,article_id,title,date,url,paragraph_id,paragraph_sentence_index,paragraph_count,claim_text,prev_sentence,prev_prev_sentence,next_sentence,is_claim,is_claim_reason,is_claim_confidence,is_claim_method,extraction_model,prompt_version,extracted_at
A0001-C005,A0001,"어수선한 부동산 시장…""올 서울 집값 떨어지나요?"" 전문가 대답은",2025-01-04,https://www.chosun.com/economy/realty/investment_trends/2025/01/04/VVTAU7BYLMGCYVANP52PLMARRY,1,5,1,“서울은 상승할 것이라고 본다. 수도권에서도 서울 접경 지역이나 GTX 효과로 교통 환경이 개선되는 곳은 상승할 것이다. 나머지 지역은 조금 떨어질 수도 있을 것이라고 본다. 수치적으로 보면 서울은 2~3% 정도 상승할 것이다. 경기도는 외곽 지역의 경우 하락 가능성도 있기 때문에 종합적으로 1~2% 정도 오를 것이다. 지방은 보합 수준이거나 1~2% 정도 하락할 것으로 보고 있다.” ―,올해 서울과 수도권 집값은 오를까.,"☞나에게 딱 맞는 아파트, AI가 찾아드립니다 ―",수도권은 주택 공급이 줄고 있는데.,TRUE,"현재 문장은 서울과 수도권의 집값 상승 및 하락 예측에 대한 구체적인 수치와 비율을 포함하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C002,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,2,1,"현대차그룹 전체로 처음으로 미국에서만 한 해에 170만대 넘게 팔았고, 현대차는 제네시스를 포함해 연 90만대 판매량을 첫 돌파 했다.","현대차그룹이 지난해 미국 시장에서 현대차, 기아, 제네시스 등 브랜드별로 2년 연속 역대 최고 실적을 기록했다.",,현대차그룹은 5일 지난해 미국 시장에서 현대차·기아 전체 판매량은 1년 전(165만2821대)보다 3.4% 늘어난 170만8293대를 기록했다고 밝혔다.,TRUE,"현대차그룹의 미국 시장 판매량 및 현대차의 연간 판매량이 구체적인 수치로 제시되어 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C003,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,3,1,현대차그룹은 5일 지난해 미국 시장에서 현대차·기아 전체 판매량은 1년 전(165만2821대)보다 3.4% 늘어난 170만8293대를 기록했다고 밝혔다.,"현대차그룹 전체로 처음으로 미국에서만 한 해에 170만대 넘게 팔았고, 현대차는 제네시스를 포함해 연 90만대 판매량을 첫 돌파 했다.","현대차그룹이 지난해 미국 시장에서 현대차, 기아, 제네시스 등 브랜드별로 2년 연속 역대 최고 실적을 기록했다.","현대차는 제네시스를 포함해 한 해 전보다 4.8% 늘어난 91만1805대를 판매했고, 기아는 1.8% 증가한 79만6488대를 팔았다.",TRUE,"현대차그룹의 미국 시장에서의 판매량이 1년 전에 비해 3.4% 증가한 것을 주장하며, 이는 KOSIS를 통해 검증 가능한 국내 집계 통계 정보입니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C004,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,4,1,"현대차는 제네시스를 포함해 한 해 전보다 4.8% 늘어난 91만1805대를 판매했고, 기아는 1.8% 증가한 79만6488대를 팔았다.",현대차그룹은 5일 지난해 미국 시장에서 현대차·기아 전체 판매량은 1년 전(165만2821대)보다 3.4% 늘어난 170만8293대를 기록했다고 밝혔다.,"현대차그룹 전체로 처음으로 미국에서만 한 해에 170만대 넘게 팔았고, 현대차는 제네시스를 포함해 연 90만대 판매량을 첫 돌파 했다.","현대차와 제네시스도 각각 2023년보다 4.4%, 8.5% 증가한 83만6802대, 7만5003대를 나타냈다.",TRUE,현대차의 판매량이 전년 대비 4.8% 증가하여 91만1805대로 늘어났다는 구체적인 수치 정보와 기아 역시 1.8% 증가한 79만6488대를 판매했다는 정보가 포함되어 있어 이는 국가통계포털(KOSIS)에서 확인 가능한 국내 집계 통계에 해당합니다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C005,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,5,1,"현대차와 제네시스도 각각 2023년보다 4.4%, 8.5% 증가한 83만6802대, 7만5003대를 나타냈다.","현대차는 제네시스를 포함해 한 해 전보다 4.8% 늘어난 91만1805대를 판매했고, 기아는 1.8% 증가한 79만6488대를 팔았다.",현대차그룹은 5일 지난해 미국 시장에서 현대차·기아 전체 판매량은 1년 전(165만2821대)보다 3.4% 늘어난 170만8293대를 기록했다고 밝혔다.,"현대차, 기아, 제네시스 모두 역대 최고를 기록했던 2023년 실적을 웃도는 연간 최다 판매량이다.",TRUE,"현대차와 제네시스의 판매량이 2023년 대비 각각 4.4%, 8.5% 증가했다는 구체적인 수치 주장이 포함되어 있으며, 이는 KOSIS를 통해 검증 가능한 국내 집계 통계 정보로 판단됩니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C006,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,6,1,"현대차, 기아, 제네시스 모두 역대 최고를 기록했던 2023년 실적을 웃도는 연간 최다 판매량이다.","현대차와 제네시스도 각각 2023년보다 4.4%, 8.5% 증가한 83만6802대, 7만5003대를 나타냈다.","현대차는 제네시스를 포함해 한 해 전보다 4.8% 늘어난 91만1805대를 판매했고, 기아는 1.8% 증가한 79만6488대를 팔았다.",현대차·기아 모두 SUV(스포츠유틸리티차)를 포함한 RV(레저용 차량) 차종과 전기차를 비롯한 친환경차 판매가 호조를 보였다.,TRUE,"현대차, 기아, 제네시스의 연간 판매량이 2023년의 기록을 초과했다는 내용은 KOSIS 국가통계포털에서 자동차 판매량 관련 통계를 통해 검증할 수 있는 내용입니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0004-C008,A0004,"현대차그룹, 미국 시장에서 2년 연속 최고 실적... 年 170만대 돌파",2025-01-05,https://www.chosun.com/economy/auto/2025/01/05/253WLIRTMRHZPM5JGBCLQCVX5M,1,8,1,"현대차는 전기차인 아이오닉5(4만4400대)가 31%, 대형 SUV(스포츠유틸리티차) 팰리세이드(11만55대)가 23% 급증하며 판매를 이끌었다.",현대차·기아 모두 SUV(스포츠유틸리티차)를 포함한 RV(레저용 차량) 차종과 전기차를 비롯한 친환경차 판매가 호조를 보였다.,"현대차, 기아, 제네시스 모두 역대 최고를 기록했던 2023년 실적을 웃도는 연간 최다 판매량이다.","기아는 EV9(2만2017대), 스포티지(16만1917대), 카니발(4만9726대), K3·K4(13만9778대), EV6(2만1715대), 텔루라이드(11만5504대) 등 6종이 연간 최다 판매를 기록하며 80만대에 육박했다.",TRUE,"현대차의 전기차 아이오닉5와 대형 SUV 팰리세이드의 판매량이 각각 31%, 23% 증가했다는 구체적인 수치와 비율을 제시하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용이다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0006-C002,A0006,고물가에 설선물 벅차다면…사전예약‧묶음판매 그나마 싸다,2025-01-05,https://www.chosun.com/economy/market_trend/2025/01/05/GAQ4BB4HOJEWNP5GGCUHQTHY7M,1,2,1,올해 설 선물 세트를 미리 구매한 소비자들은 작년보다 대폭 늘었다.,"고물가에 합리적인 가격의 설선물을 찾는 소비자 수요가 늘어난 가운데, 백화점과 마트업계가 올해 예약판매 물량과 기획 세트 물량을 전년 대비 늘렸다.",,"지난 1일까지 설선물 매출을 지난 설 동기간과 비교했을 때 롯데백화점은 45%, 신세계 72.4%, 현대백화점 71.8%, 갤러리아백화점은 32.0% 각각 증가했다.",TRUE,설 선물 세트를 미리 구매한 소비자의 수가 작년보다 증가했다는 것은 KOSIS를 통해 관련 통계를 확인할 수 있는 내용이기 때문에 True로 판단합니다.,high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0006-C003,A0006,고물가에 설선물 벅차다면…사전예약‧묶음판매 그나마 싸다,2025-01-05,https://www.chosun.com/economy/market_trend/2025/01/05/GAQ4BB4HOJEWNP5GGCUHQTHY7M,1,3,1,"지난 1일까지 설선물 매출을 지난 설 동기간과 비교했을 때 롯데백화점은 45%, 신세계 72.4%, 현대백화점 71.8%, 갤러리아백화점은 32.0% 각각 증가했다.",올해 설 선물 세트를 미리 구매한 소비자들은 작년보다 대폭 늘었다.,"고물가에 합리적인 가격의 설선물을 찾는 소비자 수요가 늘어난 가운데, 백화점과 마트업계가 올해 예약판매 물량과 기획 세트 물량을 전년 대비 늘렸다.",대형마트 3사의 매출은 지난 설과 비슷한 수준이다.,TRUE,"현재 문장은 각 백화점의 설선물 매출이 지난해 같은 기간 대비 얼마나 증가했는지를 구체적인 수치로 제시하고 있으며, 이는 국가통계포털(KOSIS)에서 관련 통계를 통해 검증할 수 있는 내용입니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
A0006-C004,A0006,고물가에 설선물 벅차다면…사전예약‧묶음판매 그나마 싸다,2025-01-05,https://www.chosun.com/economy/market_trend/2025/01/05/GAQ4BB4HOJEWNP5GGCUHQTHY7M,1,4,1,대형마트 3사의 매출은 지난 설과 비슷한 수준이다.,"지난 1일까지 설선물 매출을 지난 설 동기간과 비교했을 때 롯데백화점은 45%, 신세계 72.4%, 현대백화점 71.8%, 갤러리아백화점은 32.0% 각각 증가했다.",올해 설 선물 세트를 미리 구매한 소비자들은 작년보다 대폭 늘었다.,신세계백화점은 오는 9일까지 21일간 2025년 설 선물세트를 예약 판매하고 있다.,TRUE,"현재 문장은 대형마트 3사의 매출이 지난 설과 비슷하다는 내용을 담고 있으며, 이는 KOSIS를 통해 확인 가능한 국내 집계 통계 정보로 볼 수 있습니다.",high,hcx,HCX-007,isclaim-v1.3-prev2-context,2026-08-05
