gold_no,gold_domain,selection_reason,selection_bucket,source_status,claim_id,article_id,title,date,url,claim_text,metric,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,refined_claim_type,refined_claim_number,actual_period,actual_prev_period,refined_actual_number,refined_verdict,api_error,reviewer_note,manual_kosis_evidence,remap_kosis_evidence,gold_review_status,gold_reviewed_at,baseline_verifiable_pred,gold_verifiable,gold_exclusion_reason,gold_org_id,gold_tbl_id,gold_obj_l1,gold_obj_l2,gold_itm_id,gold_prd_se,gold_target_number,gold_target_period,gold_prev_period,gold_calculation_mode,gold_mapping_note,codebook_api_success,codebook_actual_number,codebook_current_value,codebook_previous_value,codebook_unit,gold_verdict,gold_diff,gold_evidence,codebook_api_error,baseline_eligibility_correct,baseline_table_correct,baseline_item_correct,baseline_period_correct,baseline_item_period_correct,baseline_api_success,baseline_verdict_correct
1,물가,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C00381,41,치솟는 환율에 식품 물가도 급등,2025-01-04,https://www.chosun.com/economy/economy_general/2025/01/04/7SPGFC4RFZEDLDPFTQHVDM2K2E,"175개 품목의 평균 물가 상승폭은 3.9%로, 지난해 연간 소비자물가지수 상승폭(2.3%)을 뛰어넘었다.",물가지표,101,DT_1J22003,T10,,T,Y,CHANGE_RATE,2.3,2024,2023,2.3209965050631807,일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"2023 111.59 -> 2024 114.18, 상승률 2.321%로 주장 2.3%와 일치",,수동확정,2026-07-14,Y,Y,,101,DT_1J22003,T10,,T,Y,2.3,2024,2023,CHANGE_RATE,연간 전국 소비자물가지수 증감률,Y,2.3209965050631807,114.18,111.59,2020＝100,일치,0.020996505063180848,DT_1J22003 2024=114.18; 2023=111.59; 두 시점 증감률; 결과=2.3209965050631807,,Y,Y,Y,Y,Y,Y,Y
2,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C04329,547,미국 1월 소비자물가 3% 상승... 금리 인하 속도 늦춰질 듯,2025-02-12,https://www.chosun.com/economy/economy_general/2025/02/12/6KAQJONZLRB4HIL6R2ER3BJ5WQ,이날 발표된 1월 물가상승률(3%)은 다음 달 19일 등으로 예정된 향후 연방공개시장위원회(FOMC)가 미국 기준금리 인하 속도를 늦출 수 있는 지표로 받아들여진다.,물가지표,101,DT_1J22042,0,,T03,M,CHANGE_RATE,3.0,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,미국 소비자물가,N/A,,,,,판단불가,,KOSIS 미제공: 미국 소비자물가,,N,N/A,N/A,N/A,N/A,N/A,N
3,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C04369,552,미국 1월 소비자물가 3% 상승... 금리 인하 속도 늦춰질 듯,2025-02-12,https://www.chosun.com/economy/economy_general/2025/02/12/6KAQJONZLRB4HIL6R2ER3BJ5WQ,이날 발표된 1월 물가상승률(3%)은 다음 달 19일 등으로 예정된 향후 연방공개시장위원회(FOMC)가 미국 기준금리 인하 속도를 늦출 수 있는 지표로 받아들여진다.,물가지표,101,DT_1J22042,0,,T03,M,CHANGE_RATE,3.0,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,미국 소비자물가,N/A,,,,,판단불가,,KOSIS 미제공: 미국 소비자물가,,N,N/A,N/A,N/A,N/A,N/A,N
4,물가,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C04610,581,오징어채 23%·맛김 22%… 가공식품 물가 상승률 1년 만에 최고,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/HP4YWNUF3VGJZDLS62WBVBUM74,"참기름(8.9%), 간장(8.8%), 식용유(7.8%) 등 요리용 조미료·유지류도 7∼8%대 상승률을 보였다.",비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,8.0,202606,202605,3.2258064516129057,불일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,정보 부족,,,,,,,,,,,여러 품목과 7~8% 범위가 함께 있어 단일 목표 수치가 불명확,N/A,,,,,판단불가,,정보 부족: 여러 품목과 7~8% 범위가 함께 있어 단일 목표 수치가 불명확,,N,N/A,N/A,N/A,N/A,N/A,N
5,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C04611,581,오징어채 23%·맛김 22%… 가공식품 물가 상승률 1년 만에 최고,2025-02-14,https://www.chosun.com/economy/economy_general/2025/02/14/HP4YWNUF3VGJZDLS62WBVBUM74,"비스킷(7.0%), 케이크(3.3%), 빵(3.2%) 등 밀가루를 원료로 하는 가공식품 값도 일제히 올랐다.",비율·증감률,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.2,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,B01A01116,T,M,3.2,202501,202401,CHANGE_RATE,빵 전년동월비,Y,3.243658724058416,134.32,130.1,2020＝100,일치,0.04365872405841564,DT_1J22112 202501=134.32; 202401=130.1; 두 시점 증감률; 결과=3.243658724058416,,Y,N,N,N,N,Y,Y
6,물가,층화표본:판단불가,판단불가,판단불가_KOSIS직접검증불가,C05531,707,얼어붙은 美 소비심리… “트럼프 비즈니스의 허니문 끝나”,2025-02-24,https://www.chosun.com/economy/economy_general/2025/02/24/5HZ3WJESMZERNJ723VOYTKGKBQ,5년 후 기대 인플레이션도 연간 3.5%로 전월 대비 0.3%포인트 상승했다.,물가지표,101,DT_1J22042,0,,T02,M,POINT_CHANGE,0.3,202501,202412,0.29999999999999993,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,N,N,KOSIS 미제공,,,,,,,,,,,미국 기대인플레이션,N/A,,,,,판단불가,,KOSIS 미제공: 미국 기대인플레이션,,Y,N/A,N/A,N/A,N/A,N/A,N
7,물가,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C06679,840,"물가 상승률 두 달 연속 2%대...치솟은 기름값, 물가 끌어 올려",2025-03-06,https://www.chosun.com/economy/economy_general/2025/03/06/IXLFBAQ5RFD7HKWH6T3LQXPQWA,"생활물가지수는 지난해 10월(1.2%)을 저점으로 꾸준히 오름세를 보이고 있는데, 소비자들이 실제 체감하는 물가 수준이 높아지고 있음을 시사한다.",물가지표,101,DT_1J22042,1,,T03,M,LEVEL,1.2,202410,202409,1.2,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,202410 생활물가지수 전년동월비 1.2%로 주장 1.2%와 일치,,수동확정,2026-07-14,Y,Y,,101,DT_1J22042,1,,T03,M,1.2,202410,,LEVEL,생활물가지수 전년동월비 직접값,Y,1.2,1.2,,,일치,0.0,DT_1J22042 202410=1.2; =None; KOSIS 수준값; 결과=1.2,,Y,Y,Y,Y,Y,Y,Y
8,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C09334,1204,최상목 부총리 “상반기 전기·가스·철도 요금 동결”,2025-04-03,https://www.chosun.com/economy/economy_general/2025/04/03/NMEO4455DJAXHP6FKCGHF7CBQM,지난달 외식 물가 역시 전년 대비 3.0% 오르면서 2개월 연속 3% 상승을 기록했다.,비율·증감률,101,DT_1J22003,T10,,T,M,CHANGE_RATE,3.0,202403,202303,3.1035106768005853,일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,Y,,101,DT_1J22112,T10,F01,T,M,3.0,202503,202403,CHANGE_RATE,외식 전년동월비,Y,2.9864403959737156,123.8,120.21,2020＝100,일치,0.013559604026284422,DT_1J22112 202503=123.8; 202403=120.21; 두 시점 증감률; 결과=2.9864403959737156,,Y,N,N,N,N,Y,Y
9,물가,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C10196,1315,트럼프 3대 오판… 시장·물가·중국이 반대로 갔다,2025-04-12,https://www.chosun.com/economy/economy_general/2025/04/12/JLHIBRZXPRDS5GQNYDATAVUEAQ,반대로 독일 국채 10년물의 가치는 3.3% 올랐다.,여론조사,101,DT_1J22042,0,,T03,Y,CHANGE_RATE,3.3,202606,202605,3.2258064516129057,일치,,소비자물가 등락률 후보 선택. 지역/품목/월별 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,독일 국채 가격,N/A,,,,,판단불가,,KOSIS 미제공: 독일 국채 가격,,N,N/A,N/A,N/A,N/A,N/A,N
10,물가,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C10977,1411,日과 관세협상에서 방위비 불쑥 꺼낸 美,2025-04-19,https://www.chosun.com/economy/industry-company/2025/04/19/FLZI6R3MHRGEXLOTI4J6JAO7BE,"일본은 미국과 2022~2026년 연간 평균 2210억엔(약 2조2000억원)을 현물을 포함해 주일 미군에 주기로 했고, 우리 외교부는 미 국무부와 지난해 10월, 2026년 분담금 총액을 올해 대비 8.3% 늘어난 1조5192억원을 현금으로 지급하기로 합의하고 이후 물가에 따라 인상하기로 했다.",비율·증감률,101,DT_1J22003,T10,,T,M,LEVEL,5192.0,202410,202409,114.69,불일치,,소비자물가지수 후보 선택. 지역/품목 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,,수동확정,2026-07-14,Y,N,KOSIS 미제공,,,,,,,,,,,주한미군 방위비 분담금,N/A,,,,,판단불가,,KOSIS 미제공: 주한미군 방위비 분담금,,N,N/A,N/A,N/A,N/A,N/A,N
